Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80
0.1;2.331347635;2.047124422;2.806102486;4.506662172;3.145052104;3.619678855;4.308295563;4.481569612;4.357386671;3.468102074;2.737793897;3.706299747;3.301317206;2.815413995;2.900904247;3.827574902;3.74818149;4.646330408;3.443085072;3.347052658;3.859128644;4.076817816;3.651466543;5.540366493;4.215514768;4.427276678;4.019135614;3.194673589;1.62694397;4.129108485;4.693607672;5.165221977;2.856884972;3.982180431;3.636580648;5.029308088;3.969803242;4.025607559;3.48952462;3.053798471;3.457607294;3.07723582;3.873700131;3.200127439;3.004723209;4.411980477;3.676898065;5.192972874;4.536618487;5.195770263;4.164083587;3.738364006;3.157873209;5.002458351;3.90321442;4.279531247;3.760336652;4.439168383;3.925742568;4.363389797;3.990429479;4.357231678;4.505049547;4.288115169;4.38928387;3.646194264;4.802170656;4.931135312;4.570357332;3.553005117;2.720275421;4.419349186;5.199705455;4.00775128;5.103823399;4.00319878;4.837877535;4.385638876;5.077270208;5.070329036
0.133333;0.454148238;1.808941656;1.812030064;2.688623081;1.86988846;2.052091963;3.162761554;2.830485828;2.477029247;2.4222088;2.146094191;1.249606188;2.574996291;0.851996186;2.353619019;2.598369897;3.175673372;3.314541935;2.001385054;0.914267759;2.632848599;3.641124761;3.04145324;4.07133978;3.647329816;2.738478822;2.606313363;1.420346571;1.882474076;3.077292837;2.79255001;3.647139022;2.209465754;2.65951231;1.855611576;3.79386133;2.868647979;2.282153264;3.865381838;3.110394486;1.629054171;2.032742839;2.626594904;3.549699632;2.954136658;3.217845607;2.763579393;4.368993061;3.894566136;3.570872852;2.609536645;2.73361985;2.698208267;3.679999333;4.206816776;4.046066102;2.245795713;2.958358183;3.447063049;2.995417808;3.274228875;3.175409252;4.228214709;3.427182931;3.128227335;2.622377186;3.74664309;3.642481017;4.299877674;2.368770989;2.677921301;3.667143036;4.549279505;4.288703803;5.567588291;3.133061137;3.92916148;3.185631739;4.757564415;4.90780283
0.166667;0.581916855;0.571548838;1.201843711;1.582712139;1.3009246;1.411441737;1.959934266;1.960674844;0.801252341;0.891449619;1.64927823;-0.605229389;1.867576841;-0.279070219;1.618162531;0.781170616;2.073572121;2.271089058;0.152374408;1.000148918;1.211267577;1.817701433;1.597569166;3.104999638;2.196508332;2.670077055;0.054485039;0.608988746;1.035222642;2.05994605;1.902597569;3.240818736;0.843943492;1.443537954;1.836566822;2.605819501;2.664213043;1.822237306;2.810657315;2.130305662;-0.572880493;1.151286261;1.995764933;3.04865149;1.774215664;2.100764985;1.588101891;2.533357946;2.159541172;3.233743259;1.923264477;2.116079873;1.525460741;2.975900119;3.565760858;3.920365386;1.304205049;2.111492217;3.143163626;1.658502949;2.284765486;2.827118433;3.128190673;2.403341276;2.518869827;1.840865265;3.063811547;3.033380395;3.394102304;1.894816037;2.819776314;2.896893859;3.496235352;3.695980628;4.459150676;2.968381946;2.954994357;2.514408701;3.315264216;3.906681576
0.2;-0.296103048;-1.650962756;-0.544465057;0.633352013;0.496593435;0.268924098;0.331168645;0.938858851;-0.121782743;-0.388329473;0.53394746;-1.427551722;-0.122195596;0.585286817;0.825827135;0.486862013;1.411690755;1.353215778;0.63044382;1.068990138;0.579429367;1.302134325;1.267394217;2.499344946;2.250159797;1.399184497;0.263501315;-0.07870946;0.105775623;0.570094356;0.531125761;2.356691614;0.70109928;0.371117029;1.222907879;1.198909778;1.697482851;0.873669902;2.00700132;0.584745705;0.797622395;0.252300727;1.303204081;2.254559148;1.298341705;1.100125086;1.086763855;1.336036377;2.116403158;2.097850464;1.457579383;1.681352891;1.837329621;1.551313985;1.981261064;2.917822971;0.851120863;2.045137715;1.759684088;1.894376792;1.856703975;2.103618691;1.957928603;1.644444768;1.739773515;2.324961481;2.281499405;2.878855805;3.395015053;1.650482306;2.493011248;2.732762453;2.726150389;2.574165697;3.139709335;3.034901572;2.581851034;2.162290546;2.341634075;3.655462301
0.233333;-1.990753428;-0.707533474;-1.913921231;-0.222339409;-1.264519045;-0.170711433;0.14849146;-0.175977222;-0.929565267;-1.113589317;-0.921868378;-1.285171093;-0.854195336;-0.380145224;-0.509437809;0.067623826;0.69565255;0.606595631;-0.094138545;0.003935572;-0.765772754;0.785709734;0.825234401;0.122897484;1.639946235;1.112888587;-0.88298039;-0.047645588;-0.331972901;1.089705393;0.412323558;0.94640317;-0.050765243;0.278401147;0.771082698;0.663894617;0.811442901;0.712544704;1.788773328;-0.584464453;0.657920897;-0.243780783;0.25369557;1.253234787;0.017153544;-0.00725075;1.165754976;1.156380691;1.645048843;1.58002103;0.798899513;0.663041684;0.708743132;1.264207044;0.612446794;1.877624901;0.640294486;0.694011176;1.648019619;1.728097376;1.410395983;-0.419064132;2.085090608;1.556145063;1.330077516;1.622159509;0.534180352;2.754938115;2.626549352;1.552622223;1.127918469;1.841952097;1.827339412;2.899343664;2.990665949;2.089299102;2.101764716;1.600969064;3.221211608;3.08326176
0.266667;-2.208514009;-1.229528491;-2.370135214;-1.219042827;-2.392742307;-0.710939256;0.053718649;0.189437942;-0.25765326;-1.819251671;-2.594346466;-2.110963382;-1.031991546;-0.620213239;-1.021306471;0.242439051;0.064899079;-0.152474775;-1.465922256;-1.078449561;-2.511401314;0.115704088;-0.228762497;0.15876076;0.657834324;0.907687062;-0.409932367;-0.266026378;-0.601696958;0.794134289;0.461585748;-0.266498404;-0.661854316;-1.098706213;-0.019272682;-0.581399644;0.499122365;0.162416854;1.123961348;-0.068270579;0.42620774;0.160800902;-0.442450686;0.276321526;-1.175652958;-1.293811135;-0.01072756;-1.017322864;0.87561519;0.857171823;-0.594938775;-0.066166129;0.083065248;0.666954359;1.192113178;1.424706095;-0.22736486;0.528281748;1.440595728;1.261072994;0.422919946;1.002705346;2.181665669;1.417014225;0.538726418;-0.041237888;1.116851913;1.948237502;1.952929557;0.916731131;0.039257932;0.127085206;0.659001911;2.358263028;2.746817723;1.194208042;1.062263233;0.558319929;1.853759564;1.71811216
0.3;0.433133932;0.801323915;0.702620487;0.278003018;0.951439135;0.153319165;0.937655952;0.705409691;1.298635895;0.602737288;0.283386363;0.850167784;0.670468548;1.06889318;0.662889232;1.389026207;0.796929137;0.565700249;0.852342901;0.5313675;0.8051997;1.470396329;0.83728405;0.941701894;1.191256077;1.195818852;1.082822119;0.76933218;0.816825425;1.306001073;0.099965991;1.593777813;0.470788129;1.351388032;0.880095189;0.788771266;1.076229297;0.572130862;1.270495274;0.850450102;1.041150134;1.348260855;1.369945822;0.586261555;0.369562861;0.338101661;0.777165497;1.237006874;0.858757067;1.20276806;1.010190092;0.688523497;1.128251755;1.813353009;0.911638692;1.79647966;0.578429246;1.031477573;2.299697232;1.165437447;0.970344997;1.715232305;1.979683173;1.559487392;0.933810732;0.765120054;1.687773365;1.525849748;1.509565034;1.104744993;1.684406197;0.671714074;2.15547821;0.714377105;2.942019171;1.098399597;1.65905538;1.365910395;1.363559614;1.844218962
0.333333;1.9906298;2.021433334;1.945719322;1.85662926;1.856344309;1.765715698;1.963678955;1.863268133;2.15695073;2.014896063;1.934023037;2.185691032;1.82978469;2.160601016;2.259641654;2.234090868;2.074911944;1.712268413;2.092655352;2.008199735;1.98562417;2.307504064;1.942852864;2.09435399;2.20601665;2.155356231;2.151605033;2.040465709;2.072525309;2.154389964;1.860378161;2.340137528;1.921087904;2.256227412;2.311863955;2.17364233;2.054640641;1.909584316;2.218864578;2.186387944;2.195312206;2.403048523;2.208102889;2.139540642;2.031200695;2.048719995;2.292022649;2.221252;1.833000871;2.26649177;2.193012533;1.908841894;2.269503357;2.534096184;2.362729887;2.543638574;2.121721174;1.83853398;2.666302433;2.347702156;2.179626658;2.244294783;2.48243201;2.464430739;2.158213774;2.2216196;2.156986673;2.849534116;2.463202041;1.967759416;2.603765847;2.057563671;2.583600019;2.248051568;2.350984453;2.338185131;2.427878097;2.106698417;1.987564246;2.356758692
0.366667;0.920566014;0.631320868;0.616486194;0.756144867;0.325727278;0.963917754;1.094636462;0.654087006;1.110740803;0.775684374;0.740280805;0.973531405;0.480954646;0.861084643;1.397717746;0.710035896;0.60360296;0.704517863;0.907550667;0.662589017;0.631328228;0.92114646;0.845264854;1.105255659;1.077539372;0.846521239;1.036368467;0.785261798;0.706250004;0.748609105;0.836647092;0.844485683;0.767869183;0.885624914;1.05210905;0.840124115;0.963958025;0.829916298;0.957257454;0.915813726;0.820251043;1.235749429;0.93276613;1.054197965;0.888060918;1.15445907;1.004641952;1.19880669;0.501582273;1.451287284;0.713883512;0.426380587;1.342225713;1.050251822;1.36676108;1.121611161;0.823993775;0.450669699;0.86645471;1.359567348;0.933900637;0.892143217;1.388920704;1.322890575;0.667361873;1.153927202;1.367532677;2.030683418;1.742904774;0.382856632;1.509096721;0.692472079;0.418961527;1.726671728;2.086494062;1.238713781;1.047068853;-0.026228571;0.441948324;1.161933605
0.4;-2.768356177;-2.874046948;-3.053043797;-1.585815756;-2.167443337;-2.060772213;-0.623573231;-1.561454902;-1.209560011;-3.035278468;-2.775591172;-2.746598853;-2.254091615;-2.391616498;-1.038757389;-2.085232255;-2.154039301;-1.399828534;-3.535067344;-3.599313355;-2.36654069;-2.997982942;-2.525959567;-0.980109243;-1.129115284;-1.322287311;-1.688271382;-2.580869955;-3.121854175;-2.170082913;-2.02445298;-1.895536471;-1.930604683;-4.056424149;-2.48841076;-1.512674016;-1.857880209;-1.364480567;-1.500373231;-1.729441214;-3.144048914;-1.228634383;-1.752667189;-2.050264843;-2.112744435;-1.808988062;-2.275588534;-1.596571094;-1.08615374;-0.305542685;-1.617015387;-1.575179993;-1.474907689;-1.242509078;-1.875378477;-0.681889598;-1.93106819;-0.985522979;-0.930814478;-1.275152498;-1.956824255;-2.064733749;-0.492774488;-1.000238375;-0.635958238;-1.460684521;0.100891913;-0.592966673;-0.519964711;-0.646542337;-0.599995939;-1.577733598;0.303207973;-0.620941473;0.837653313;-0.390557317;-1.375466716;-0.976803992;-0.15343558;-0.46387072
