Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
0.1;3.074342372;2.55655295;3.516640358;4.212900147;3.963465813;2.826516305;3.786385571;4.000304889;3.17037375;3.303160259;2.20578273;4.056103357;4.21354725;2.441061571;4.008558857;4.45905515;3.065274085;3.250282641;3.157698163;2.693589063;3.954865474;4.078069315;5.371595205;3.103459396;2.138465065;3.495348469;3.986415408;4.673566204;2.981769509;4.929407264;3.326705382;3.62788665;3.889209093;3.883544911;4.263723337;3.948717057;5.13060194;5.063553047;2.931783774;3.266147411;3.935707481;4.716195646;5.177892307;4.38132307;5.129664004;5.030516242;3.401360004;3.737660383;4.076539413;4.799600126;3.206813299;4.424784341;4.961085191;5.98382938;2.851878896;3.279094007;3.962583779;4.618025605;5.320093188;4.810470805;3.896515419;3.69447959;3.794169412;3.835234576;5.01385212;4.720443187;3.56989594;3.567566976;3.032109615;5.013714724;5.245022327;5.879483056;4.271650496;3.613026329;3.769201632;4.983121308;3.704814403;4.130669526;5.030495061;4.739614619;5.489998695;5.594095129;4.099062479;4.158064854;4.22191916;5.250176625;5.080502001;5.285945168;4.840759697
0.133333;1.541407826;0.54278111;0.938546033;2.581536708;3.21643774;2.045098647;3.453974978;2.896143214;2.393218784;2.361252927;1.566793082;2.835856571;3.082925457;1.354826068;2.971135702;3.314940035;1.921582949;2.5093124;1.1539349;2.090999544;2.431984032;3.217473833;3.746236966;2.193610607;2.124946579;0.236626554;2.972280498;2.936733236;3.017285935;2.426631626;2.134021761;2.401404472;1.85396893;3.183815987;3.047924778;0.885820223;3.275983303;2.779612898;2.354881249;3.392495804;2.352435285;2.823371511;4.103503706;3.740006066;3.469293038;3.836744608;2.988328649;3.167868361;2.799132156;4.069909311;3.596295499;2.741199261;3.599295423;5.076441591;2.422808399;1.86023009;3.260571215;3.481710456;4.250121011;4.2123613;4.210980062;2.409699947;3.305627854;3.812614462;4.288073654;3.979310042;3.085459163;2.544109826;3.034943381;4.043028013;3.752243029;4.537852592;3.975176617;3.984178522;2.365483526;4.448731359;3.531233263;3.290038957;3.983388846;3.229410242;4.386609228;4.04601485;4.075027118;2.895194967;3.624844437;3.263350281;4.00471793;4.514754956;5.041675506
0.166667;0.383820436;0.108249845;1.051442596;0.570089919;0.228849719;0.676004087;2.735113869;2.50963278;0.298587036;1.377972545;0.383106422;0.737717482;1.650034382;2.09928534;2.303068484;1.957428725;0.763351823;-0.043147773;0.962944348;1.821892583;1.617034333;1.921062864;1.944478349;0.89967753;1.916139537;0.625681955;2.050055426;1.342921132;2.495055648;1.979615225;2.285324858;1.259348892;1.593345446;2.80844812;0.286671787;1.554653186;2.63458623;2.424975306;2.410373746;1.83086419;2.549815959;1.673033709;2.850526122;2.480551197;2.833033494;2.952511868;1.841222728;1.503716249;2.298012631;2.486749853;2.914027498;2.428528766;3.687523042;3.400202202;1.89291476;1.605187121;1.549007807;2.231107563;2.648335785;3.443073173;2.885386122;1.84750983;2.821688429;2.804987854;3.063125252;2.556870168;2.057941714;1.850463215;3.461740902;3.242590164;2.787867419;3.123594732;2.564830598;3.337793352;1.880204435;3.610285098;3.03215866;2.67745092;2.835018054;3.237189262;2.823956146;3.705868694;3.240171822;3.065652668;2.79488648;3.779695348;2.64320461;3.678103954;4.089670096
0.2;0.059696844;-0.158716641;-0.51637503;0.642940164;0.189485498;-0.169506729;1.08635866;0.533194611;-1.286361701;-0.059030489;-0.282496216;0.880651605;0.256498544;1.137411377;0.311134016;0.837731179;-0.279369756;0.441724008;-0.502326986;1.546186947;0.200843951;1.185229803;1.013036876;0.664411215;-0.014503162;0.277575443;1.263337379;0.726842342;1.624420061;1.858972487;1.127601252;1.251580386;0.650870944;1.30338645;0.634902017;0.892058289;1.753579923;1.837073823;1.158397688;0.332096709;1.405792241;1.121559726;1.155673448;2.391559274;2.112958802;2.813670093;-0.179417186;0.799155917;0.831734615;2.608583933;0.783297974;0.857080559;2.529709379;1.890142141;1.361187517;-0.38154372;0.644327123;2.237614954;1.914892184;2.527694312;1.510360565;1.964236451;2.582846336;1.901416134;2.745737846;1.666822631;0.880536662;0.572264538;2.79571681;2.869570835;2.94437361;2.21684123;1.065369457;1.886676653;1.079544182;2.851794779;1.948787589;1.300560866;1.533042784;3.148966625;2.817150269;2.938485552;2.765854552;2.583954582;2.582488377;3.435823494;1.981983387;3.200655692;3.454148302
0.233333;-1.643653301;-0.963146861;-2.751288219;-0.119491631;-0.562477793;-0.415957671;-0.379385519;-1.209710788;-2.104246227;-1.241353862;-0.421131858;-0.181485597;0.060715507;-0.281915643;-0.017655347;1.0235547;-0.80242073;-0.01248273;-0.832825351;-0.233758817;0.418608496;0.945621437;1.186005051;-0.13459764;-0.670325019;-0.199478178;1.028446865;0.098373799;0.224619066;1.988617913;0.421188401;-0.306718315;-0.264412268;0.299634235;0.445942932;0.316088747;0.29311133;1.724163257;-0.002558519;-0.17096367;0.73664531;0.505952262;0.277635511;1.057719285;1.719651349;1.937891008;0.724640431;0.151490256;0.245671751;1.7605491;1.290772128;0.146328001;0.987846825;1.251017268;-0.644473809;-0.527424917;-0.259166508;2.36064135;1.439112082;1.407211843;1.391229972;0.692371902;1.813471322;1.373794283;1.507194346;2.055753166;0.972486846;-0.19131321;2.612601146;2.124591758;2.052182625;2.141312707;1.451136227;1.402966705;1.737925943;2.554907376;1.22683119;1.462540747;1.404712429;3.26675187;2.390490925;1.922708406;1.698829866;2.369949124;1.427547748;2.365074992;1.781825738;2.622341035;3.136930433
0.266667;-1.987965318;-1.807128003;-1.289178277;-1.122095954;-0.578027144;-0.55596093;-0.104332127;-1.194745108;-2.294088566;-2.353347315;-2.221851658;-0.604498091;-0.489762864;-0.590163001;-0.646921934;0.463223871;-1.161009045;-1.704768834;-0.74722963;-0.314665459;-0.389099891;-0.811939186;1.1068388;-0.993774768;-1.523426648;-0.950187171;-0.070963713;-0.045797072;-0.440008266;1.104173073;0.079664771;-1.040069042;-1.404969428;0.145665697;0.139247728;0.049891778;1.222577582;0.973723991;-0.156546917;-0.060279402;-0.809654211;0.290471365;-0.658697825;0.593953508;0.63506751;0.939224441;0.193304355;-0.196490692;-0.374782372;-0.025333922;1.077093207;0.11479686;0.01350789;1.722621401;0.054145537;-0.262932187;-0.337369812;0.825384429;-0.037293131;1.944824929;0.497901864;0.08054495;0.679956405;1.323350476;1.610061994;2.177199045;-0.552638289;0.666425615;1.506343703;1.474854375;0.052912119;1.946119513;0.82006499;1.060406876;1.348442264;2.007232824;-0.406890744;0.890337492;1.100521266;2.38963968;0.680982362;1.520655964;1.154097797;1.725118394;1.406841693;2.012789963;1.301808396;2.014258581;2.293907556
0.3;1.313003744;1.10600717;1.066365324;1.385883091;1.257059067;1.107755673;1.499917553;1.246837579;1.325804676;1.01402864;1.195722513;1.610444792;1.427536725;1.013082796;0.720390223;1.310927403;1.453747882;1.354943398;1.150553108;1.48358379;1.456243648;1.252697066;0.534594544;1.135856034;1.210489742;1.274225389;1.418874528;1.654544831;1.596221159;1.782989083;0.713219268;1.198327998;0.953675438;1.692678678;0.952224936;1.760904253;1.377592238;1.589666148;1.760271706;0.923196678;0.684438287;2.038024497;1.592032299;1.004495672;1.748728191;1.66967364;1.225363544;1.252340048;1.343629971;1.671393613;1.640272374;1.523266662;1.61199325;2.262444679;1.10057513;1.054456536;1.58478538;1.760722589;1.833861017;1.799102076;1.587229353;1.140586005;1.718479018;2.390271151;1.529757387;2.441260199;1.414174328;1.222915766;1.284105336;1.704187355;1.946589723;1.976392344;1.348865385;0.855245888;1.880892451;2.169785264;1.101666643;1.957740803;1.409955982;2.117841567;2.206440231;1.821901147;1.651227998;1.791577862;2.049260491;1.191874652;3.054699303;2.334137356;2.789723005
0.333333;2.520193645;2.513911471;2.567935471;2.386955674;2.582303677;2.435576418;2.589319504;2.34298468;2.6347417;2.565835585;2.567767704;2.67269923;2.639400079;2.64667661;2.429271991;2.571954155;2.701511347;2.655254865;2.608984806;2.743481178;2.663658033;2.675870384;2.642905886;2.684016611;2.451650952;2.598823352;2.498037335;2.628781534;2.689051821;3.056073075;2.440707193;2.66537071;2.545096274;2.664767299;2.764806438;2.907519499;2.654285226;2.770624557;2.814569766;2.400060981;2.411434034;2.973720986;2.74147912;2.441084092;2.785264294;3.003506165;2.728046029;2.829565288;2.51114011;2.770833199;2.834631763;2.714864315;2.113489509;2.731388179;2.799583959;2.692672213;2.818417698;2.971438168;2.806247433;2.875364237;2.67583272;2.565087398;2.961559932;3.192613934;2.590387987;3.082444141;2.74771894;2.95086171;2.692598615;2.827602219;2.808053804;2.896333953;2.802128373;2.672893803;2.760435477;2.756396515;2.469315515;3.09365092;2.80690188;2.974759995;3.356974513;2.504054251;2.838010697;2.600253308;3.136537252;2.783727231;3.822730484;3.502338787;3.204149411
0.366667;1.16967435;1.246227329;1.310594099;0.995290233;1.492374545;1.291133247;1.408358206;1.254130941;1.335220459;1.275301954;1.338828483;1.263397817;1.081584172;1.559072535;1.310580613;1.441402744;1.451030315;1.405850235;1.284231612;1.525168968;1.266686136;1.495466767;1.560544634;1.356029744;1.294255714;1.373974011;1.094260302;1.329452812;1.499580858;1.861147969;1.125631909;1.437780312;1.294343706;1.30225133;1.678448182;1.635777728;1.750441006;1.802008771;1.388300037;1.060438632;1.393345984;1.802792517;1.738407435;1.682422798;1.516805977;2.002078033;1.687325788;1.737416226;1.255388296;1.40898573;1.586848139;1.523382569;0.640126699;1.027223518;1.927744997;1.560861681;1.477295533;1.900359486;1.770886886;1.915455006;1.337490147;1.060259997;2.015485212;1.773289217;1.370582685;1.780573172;1.425703418;2.099160706;1.913349934;1.7000911;1.121243351;1.861001724;1.736195216;1.321389176;1.140061808;2.289488665;1.591912155;1.966753736;1.571968386;1.284810192;2.459743035;1.050650925;1.569123363;1.313010769;2.072372439;1.893209535;2.419810908;2.482794289;2.159414138
0.4;-2.450984828;-3.608297258;-1.934807091;-2.291823871;-1.643176941;-1.872217642;-2.012261959;-0.845178421;-2.948275525;-2.623824387;-2.260463112;-1.653599023;-2.228673949;-1.845060844;-1.302560368;-0.381255918;-2.604303058;-3.494483067;-2.370682758;-2.118012872;-1.570811365;-2.399907539;-1.410964463;-2.79115065;-2.13261797;-2.517248941;-1.270700912;-0.509228203;-1.173538034;-0.645138936;-2.496510991;-1.312399541;-2.094641819;-2.495774394;-1.554138572;-2.242343085;-0.10109452;-0.30109606;-1.543981152;-1.959489759;-0.969840587;-1.201667448;-0.541664118;-0.816479247;-0.624440918;-0.628831467;-1.222835759;-1.864960439;-1.552271191;-2.137657683;-0.903915734;-1.635284818;-0.399035098;-0.545074424;-1.188206654;-2.660415307;-1.704588699;-1.819135071;-0.684969804;0.208242354;-1.287381796;-1.767872239;-0.547690786;-1.115622364;-0.751159947;-0.751777479;-1.385881087;-1.225082982;0.028431168;-0.643543463;-0.167503538;0.392674113;-1.589736866;-0.310223443;-1.014085288;0.669070225;-0.920369545;-0.286115782;-1.618433323;-0.913928092;-0.413226535;0.13865543;-1.107892814;-0.218864555;-0.384120663;-0.226361282;-0.173319921;0.197971097;0.762829131
