Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87
0.1;1.909567592;3.186218851;3.06556248;3.189540601;2.437330036;4.645948;4.563752521;3.837795856;2.698654619;2.289165499;4.011621169;5.03703415;3.829657432;3.785605151;4.414636199;4.298839317;2.675386603;3.232128531;2.261184746;3.58561743;3.18442448;3.965351422;4.162957905;4.04575783;3.820205942;3.122320126;3.596161465;4.031901878;4.379563069;3.947640135;4.951934381;4.900189171;2.508789161;3.296621042;3.161773673;4.241655812;4.628333119;2.895483868;5.641349512;3.134950979;3.480531488;4.297332727;4.151320926;4.931996226;5.210723801;4.472449833;3.762205742;4.137715175;3.615108412;4.077461756;3.665493577;5.782872299;3.612988606;4.459114979;3.799271915;4.387295132;4.229432928;5.558690819;5.205228898;3.550179592;3.763485362;4.266346623;5.094950045;4.775309227;2.902241484;4.498615985;5.646849096;3.697964469;3.959935551;3.921408712;5.474476202;5.267428734;3.422921479;3.955244218;4.261876604;4.435937885;4.653345528;6.01837866;4.266808713;3.633659671;4.295654085;5.075959813;3.914085063;5.954358457;4.398731766;3.911748208;4.573399915
0.133333;0.546312234;1.830070938;1.856340952;2.430105797;2.669332346;2.642410631;3.181947906;2.330980352;1.49009787;2.125705718;3.014571131;3.559689473;2.61192988;2.650011378;2.43303587;2.825305607;1.677675917;3.000587552;2.025887173;2.745748254;2.881391292;2.361472251;2.696821644;3.12354511;2.310142853;2.145971889;2.129674039;2.839832207;3.812916727;3.311544709;4.231257441;3.78753471;2.925736616;1.719702915;1.910426446;2.293635527;3.124912695;3.031113482;4.030108287;2.653579082;2.678579623;2.61022926;2.390677728;3.983113653;4.313218624;3.48040025;2.288326706;1.986488938;2.793384147;3.374857026;3.225553004;3.828759385;2.767107003;2.602567472;3.286107305;3.626955732;3.649482881;4.482228103;3.911913723;3.277727706;2.926151356;2.769801874;3.137146116;3.865542628;4.483056084;4.205682368;4.851639263;3.068529286;2.599420941;3.005290633;4.965246784;4.150658227;3.150248165;3.333024995;2.423457773;3.88351924;4.008168646;5.076667095;3.283707467;3.853962034;2.989885346;4.273372268;3.949686361;5.1504597;3.798111527;3.557213574;3.491828024
0.166667;0.066740781;0.308721235;0.53232191;1.380263561;0.805316084;1.004737456;1.44900604;0.07640436;1.194331012;1.066541998;2.167047679;1.691953381;1.18721026;1.17869724;2.122040295;2.21925424;0.115210066;1.885009029;1.765035652;2.232918745;1.72698694;2.061350878;2.13064596;2.432524351;1.053235465;1.926572435;1.443175945;1.998978468;1.905138807;1.999351977;2.904628508;3.079051356;1.169426844;1.413851954;1.528638326;1.713481067;2.495208692;2.109919118;2.722115512;2.378059181;1.4208099;1.001735207;2.422923978;3.020748333;2.416728487;0.981165854;2.162021893;1.249677371;1.983231978;2.203413237;3.169533756;3.917040901;2.454645441;2.229623014;1.673148878;2.204853776;3.205883605;3.660291212;3.822585134;2.97464839;2.038133945;1.769538323;2.711738922;3.102847212;3.785808138;3.721742373;3.757413294;2.591158797;2.420107766;2.687276324;3.714283793;2.280779599;2.425067259;2.549856649;1.875452786;2.682577733;3.267488833;4.298550355;3.210954662;2.614017717;3.166518094;2.948484621;3.171216047;3.803814879;2.530137804;2.359303202;3.934349033
0.2;-0.456287214;-1.116507082;-0.574683815;-0.11943929;-0.233754755;0.69146592;0.439072146;-0.181192097;0.151897503;0.503267976;1.398216051;0.317871826;0.392036643;1.437028507;1.862274751;0.647588681;0.226025842;0.410621153;1.173778983;-0.175446166;0.803990799;1.581929021;2.08047701;1.1434525;0.174484549;0.470091612;1.120688001;1.714055923;0.830148274;1.4082336;2.130215181;1.828310057;0.130074941;0.371556259;0.082846412;1.599583641;1.733354777;1.569836465;2.910604066;1.56122173;0.980532993;0.857807913;1.572590806;1.357743282;2.066767342;1.722640378;1.760053847;0.719774854;1.970520547;1.202648143;2.62577047;3.302765534;2.066484256;1.436544955;0.443649595;1.936050725;2.483221184;2.617844094;3.507869058;2.491029034;0.745243664;1.97941157;2.6641649;2.777982034;1.359284288;3.59612187;3.434862799;1.438357735;1.826087298;2.308067007;2.834220356;2.92467926;1.300116372;1.738401866;1.796533906;2.234318592;2.342591817;2.854644226;2.586370458;2.081673401;2.596946702;1.981352096;3.010605891;2.7979623;1.984889107;1.858966565;3.111810913
0.233333;-1.720819127;-0.449268757;-1.431682935;-0.992512725;-0.602600775;0.312862522;-0.788397564;-0.959978234;-0.837017171;-0.715882047;-0.144219745;-0.050080194;-0.177912812;0.414766837;0.946319449;0.661689076;0.018938166;0.064118774;0.092766562;0.27482043;0.125598112;0.54527183;2.042768652;0.22063742;-0.761402042;-0.451117738;0.152935107;0.039018703;-0.304181194;0.66370468;1.484798679;0.881801157;0.523490489;-0.156936561;-0.152067958;0.90818358;1.052928552;0.943087575;1.702073949;0.341318394;0.272895095;0.555380661;0.806765048;0.382101634;1.033818944;2.282389378;1.165863859;0.582515806;1.405537461;0.684826069;1.198801229;1.900965722;0.480873973;1.028939425;-0.721926945;1.84882972;1.913761459;1.281668449;1.527566788;1.683233491;1.06793028;1.180611583;1.977560388;2.622536668;1.393115407;3.208585439;2.87695246;0.705924502;1.294233606;1.180966587;2.105038429;2.706548409;1.052106809;1.284989952;2.192455945;2.252468249;1.648583157;2.196856634;1.657014302;1.886835504;1.564411002;1.044710483;2.012020354;2.988119446;1.943360143;1.824880735;2.895771431
0.266667;-2.301927533;-1.208748161;-2.545827891;-0.459542708;-0.848498833;-0.227603208;-0.203818317;-2.020667125;-1.104334694;-2.691178885;-0.807412982;-0.590903602;-0.945014655;0.149079123;0.257520479;-0.408745879;-1.644670779;-0.033617563;-0.26936363;0.242982955;-0.681083504;0.026648903;0.613689129;0.342949767;-1.094243488;-0.885142491;-0.348394528;-0.185755838;-0.824448238;0.073983499;1.298127145;0.418605526;-0.020286914;-0.732606895;-0.406826024;-0.061625501;0.309280711;0.410265203;1.231828953;0.350476074;-0.850004887;-0.313410957;-0.095036255;0.808521632;1.176803231;1.460600116;-0.843944264;0.195186481;0.869945046;0.352956155;0.930225607;2.274611727;-0.670710793;0.883429337;0.629632524;1.258881482;1.673714365;0.483684104;0.817339929;-0.52633808;1.019301516;0.2432229;1.686036022;2.039666639;1.745428049;1.750487856;2.13461279;0.876193654;0.235941648;0.112576458;1.698708427;1.265258396;0.801493865;1.172541631;2.00544297;1.185060283;2.158986669;2.327451324;0.354047977;1.314405096;0.457594719;1.769766245;0.765907751;2.517536118;0.462671189;1.398219211;1.642654859
0.3;1.730417757;1.704312316;1.703180714;2.046359099;1.534655949;1.167542211;1.859005608;1.678043536;1.81825633;1.699884997;1.613119208;1.446442738;1.659608153;2.02321904;1.782483462;1.885723478;1.52878248;1.925516094;1.404171015;2.093396452;1.465109217;1.622252956;1.648130259;1.476404498;1.743238773;1.490808277;1.602364666;1.7494106;1.391237471;2.119019973;2.026463469;1.659984732;1.484407193;1.423527082;1.498400858;1.940687792;1.861415934;1.163149477;1.647706847;2.131176472;2.095692121;1.675314041;1.760162773;2.046091916;1.675738802;1.766704163;1.741253181;1.729007864;1.933752861;2.013273214;1.880899096;2.454614318;1.698938526;1.870906841;2.371672707;2.371122875;1.735557509;1.34950006;2.222416302;1.000076453;2.192814503;1.913068046;1.455647543;2.039258028;2.478274286;1.932575593;2.152654219;2.451559887;1.786704493;2.126706629;2.446343159;2.35502014;2.2332732;2.232490396;2.423609284;2.247812055;2.407514821;1.954154308;1.680436192;2.26358985;1.838592732;2.660098155;2.071359196;1.861297405;1.619837392;1.665865156;2.020005147
0.333333;2.995233658;2.986719135;3.029967555;3.0383124;3.055251493;2.85560728;2.983576837;3.11865525;3.092450113;3.14981121;3.150955928;3.127972327;3.109833791;3.134909279;3.1472617;3.077559131;3.050988278;3.252005713;3.016380821;3.110143614;3.026198136;3.120386076;3.163331503;3.123498109;3.071558121;3.04223128;2.983484977;2.900077453;3.020162207;3.230727984;3.143444118;3.062001663;3.119638145;3.023513294;3.156511542;3.142151343;3.120190675;2.91767535;3.227373532;3.199897062;3.154456439;3.126482852;3.048343542;3.255494854;3.085122623;3.01598452;3.073526036;3.183703586;3.114275935;2.998798389;3.234549416;3.114219445;3.247746452;3.068696407;3.328792521;3.398792497;3.321971079;3.151612956;3.293408685;3.049707311;3.216781076;3.20361532;3.167449567;2.927536123;3.429280111;3.319593029;3.136032956;3.344561932;3.009176054;3.058353949;3.167630804;3.420955689;3.246393942;3.29745638;3.345824144;3.504316061;3.231139446;2.773757812;3.372817505;3.326108016;3.321250971;3.528855447;3.648318902;3.353347437;3.225313593;3.313268213;2.762025127
0.366667;1.489232539;1.76015441;1.730323271;1.404405013;1.750891713;1.796291355;1.424875054;1.996101247;1.665800814;1.960744821;1.858450462;2.243667055;1.959647962;1.754567195;2.067039477;1.960236888;1.838763189;1.910371291;1.935034185;1.510659238;1.934037975;1.755919073;1.789283365;2.236047749;1.762416712;1.843333184;1.650939338;1.694773084;1.954262936;1.899759889;1.847125029;2.165347976;1.862889572;1.760031739;2.003757744;1.839843534;1.738533678;1.872163177;2.371244687;1.874732978;1.513229518;1.848811554;1.507733113;1.900273414;1.882801247;1.141426215;1.718140005;1.980934276;1.876050565;1.38528154;2.207463567;1.895747858;2.224196569;2.076308481;2.22767378;2.064823122;2.375013523;2.075393796;2.339720544;1.929091793;1.594053581;2.04061948;2.033850198;1.7535014;2.246393047;2.172827457;2.02345876;1.770809259;1.581839938;1.22289835;1.692639832;2.266481357;1.905745689;2.023787283;2.078554374;2.304411615;1.919265349;1.733149106;2.297721899;2.38284444;2.151484213;2.226260622;2.809733311;2.305554288;2.197264089;2.372489472;1.521772432
0.4;-2.528456612;-2.565829517;-2.196536795;-1.44111639;-2.004809048;-0.557731948;-0.953299072;-1.838773513;-1.849417911;-2.248499613;-1.195346278;-0.398700668;-0.929114473;-0.50270593;-0.47963332;-0.109730058;-1.904003815;-1.824205348;-1.24613769;-1.823866922;-1.026284947;-1.099193348;-0.378020706;-0.418388954;-2.406450174;-1.752345038;-1.820418753;-0.550280521;-0.990212949;-1.831168004;-0.968170131;-0.236890443;-3.376219523;-1.913615519;-2.414888272;-1.708979012;-1.757767101;-0.437831254;0.464959296;-0.975454872;-1.580696023;-1.515535748;-0.826068686;-1.138481659;-0.076517252;-0.239617067;-1.445663341;-1.444406274;-2.034998913;-0.851908801;-0.766756959;-0.385864877;-1.801984446;-0.641198061;-0.636216818;-0.084638049;-0.380516237;-0.118891559;0.083057799;-0.971283624;-2.073467552;-1.436452964;-0.746783873;-0.646385655;-0.580658263;-0.298670742;-0.547656893;-1.388534815;-2.445867929;-1.162259159;-0.548295101;-0.120298981;-0.299015749;-0.909419641;-0.792861258;-1.170595091;-0.229487147;0.252670093;-0.818854802;-0.787563754;-1.324659509;0.067260528;-0.297854936;-0.212908289;-0.517572275;-1.160143488;-0.02604281
