Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185
0.1;2.603324893;2.32369104;3.276441931;2.712463305;2.67972825;2.680718061;2.896324995;3.978848497;3.723664607;3.385349399;2.753543514;3.753057035;3.897295791;4.458813137;4.097270378;5.164710283;4.060488416;3.895536665;3.145980248;3.033355625;2.928214046;2.62171723;2.329473654;3.792452964;2.952076657;4.160968657;4.548485476;2.844056547;3.197227352;2.999682458;4.301312542;3.625536508;3.765677177;3.816753412;2.94432202;4.656378425;4.286622792;3.826862444;3.615961624;2.264304009;3.553691554;3.50985842;3.29634865;3.178081051;3.362867413;4.104704451;2.939524339;3.759930637;4.508716717;3.016587098;3.847523026;3.995897209;4.253256352;4.698342678;5.214345595;3.635899339;3.457131097;3.589831377;2.822460372;4.000685087;4.248962816;3.365111903;3.827940608;4.415065776;3.732103014;4.039702297;4.370643151;4.758158726;4.778962278;4.874777013;5.550789005;3.371190232;3.572404028;4.271733496;1.531656372;3.963667173;2.904104052;4.030888086;4.282949642;3.169276381;4.30664848;4.439072889;4.233620536;3.782726391;5.692604279;4.138118445;3.359714902;2.520763938;3.358917998;2.89608198;3.942420932;4.298338005;3.919632978;4.149143688;3.663305564;3.997286504;3.279165211;4.707882428;4.422028882;4.934081758;3.899028249;3.752229513;3.980004511;3.611917785;3.191903057;4.070708316;1.974659548;4.980443785;4.550747762;4.100804752;4.505059855;3.802703322;3.556364974;3.744849151;3.318121136;4.370360674;4.554131338;3.047981905;4.161657276;4.960856339;4.776895169;5.140774909;3.925579989;5.159327162;4.596258804;3.391566238;2.56087409;3.66727503;2.281137736;3.651777055;3.574021153;3.802745164;4.815277925;4.630452418;4.310981946;5.017947794;5.504077982;3.322194004;3.828752079;3.632659617;3.902786644;2.796618952;4.215717724;2.529891653;3.912283172;4.216379335;4.767477912;4.562121442;4.459983585;5.757028913;4.431223855;5.090226167;4.635523806;3.994122062;3.678508326;4.294335452;3.708232969;5.224313812;4.330512156;5.071061657;3.526968641;4.852613588;5.293639482;6.551621755;5.717308743;4.220052123;4.93789735;4.331495859;4.815896228;4.017120434;4.351934325;3.977795972;5.613383362;5.392764283;5.106905762;3.565332485;6.267980161;5.041180776;3.691756389;4.425855623;4.70328477;3.724293459;4.198178064;5.453517274;5.38887179
0.133333;1.541379144;2.121944471;1.845277386;-0.087690341;1.371390572;0.321261707;-0.923969654;2.403848262;3.055623086;2.185656711;2.194232637;2.588911135;3.066035396;2.99355025;3.220856284;3.761591286;0.789920924;2.91230456;1.813136158;1.653377137;0.90110832;1.464805833;1.757389118;2.150376869;2.096457593;2.444123195;2.438945364;2.053166104;2.186367179;2.306678294;2.991378189;2.459642948;2.933611765;3.793462089;2.947774549;2.800461938;3.471864376;3.333491359;2.484000884;2.218458826;2.218741515;2.221554932;2.013895897;2.116837403;2.494832982;3.462914646;2.23514777;2.886406705;2.711969583;2.688424124;1.980715485;2.543869786;3.143691725;3.606629528;4.02983811;1.624628965;2.030666788;2.283113647;1.299162149;1.826904605;2.176983932;2.015871331;2.594923029;2.425765888;3.019261645;2.940711994;3.742374955;3.225721356;3.779957385;3.21922359;3.482017131;2.507927419;1.728515085;2.316645984;1.893219596;2.604562128;2.609833821;3.13596543;2.843138039;2.99156595;3.086368534;3.270600287;3.813905192;3.934965086;3.882989047;2.575656666;2.115272822;1.050974986;2.529082939;2.279723103;2.810996397;3.030757623;3.563428649;3.69148496;3.386344452;4.035298195;3.956001643;3.756765782;3.374647423;3.885026866;2.724262066;2.358413219;2.757176275;2.714710064;2.969344788;2.262065171;2.66082152;4.061556662;3.503023689;3.524015249;3.787778493;2.976487049;3.061154138;1.509924043;2.223419247;3.332837123;3.220584241;3.019054466;3.32429186;3.132250142;3.279903037;4.188114771;3.04854327;4.587287373;3.862182539;2.664499905;3.393053787;1.657951701;2.425073941;3.237350037;2.17109045;2.868469735;4.801888349;3.969376415;4.395612984;3.658236222;4.537103436;2.564923807;3.177443748;2.994376781;2.772750402;2.785366914;3.138595387;2.504210447;3.185277269;3.180523063;3.800248719;4.068634485;3.670202521;4.864741231;3.328162216;4.420315202;3.461820367;3.11227626;3.631415071;3.524435486;2.572987886;3.351965721;3.091268159;4.328578275;2.610309547;4.29174997;4.30136078;5.440116793;5.041160195;3.253238841;3.497493474;3.809498108;4.094189195;3.522228588;3.542905168;3.231903929;4.847311877;4.313841947;3.803673021;4.052291956;5.794466267;3.843864831;2.376826041;3.446983854;2.52114419;3.678428118;3.485199656;4.347724446;4.664524589
0.166667;0.684241241;0.631840496;0.202881313;-0.354483274;1.047713359;0.590765064;0.176299409;0.533096865;1.609336009;0.685078575;1.362868994;2.148060806;2.07985901;1.509322316;1.625541142;2.304350673;1.630962091;1.408159967;0.13003645;0.715757685;0.102220618;0.743487556;1.279892705;0.902598883;1.141557315;0.50136172;1.698468686;-0.23973822;1.676387497;1.070907552;2.019900166;1.111553137;3.103207661;2.613754091;2.490760694;1.583245248;1.711598688;1.67358322;0.99189187;1.268268685;0.08534248;1.865110529;-0.949468774;1.324247719;1.894829122;1.889817884;0.928305333;2.114144113;1.488352291;1.949950591;1.769721178;2.010086446;0.732633399;2.258636148;2.529294128;0.024123629;1.985019101;1.163367015;1.143301654;1.51849408;1.575165215;1.644608982;1.486640769;1.619563254;1.370819132;2.12586878;2.015715775;1.5157754;1.77246447;1.90092498;2.551399605;1.887512964;1.187240887;0.697780256;0.995623024;1.453253933;0.906194599;1.709623352;1.42529006;1.557839696;2.31115989;1.868795383;2.518080867;3.595047146;2.147973121;1.954870802;1.74919367;0.938710731;1.048250648;0.376625025;1.913722716;1.163527709;1.911886612;3.659024802;2.32381516;3.016757531;2.295602073;2.659308209;1.204454929;2.824165455;0.81310968;1.21404186;2.85692025;1.335533578;2.274904137;1.857963062;2.277421307;2.571126513;2.575272448;2.299690472;2.69535566;1.533721379;2.086737649;2.066859514;1.491018829;1.788587955;1.936426184;2.312314313;2.859190692;3.142612792;2.743678962;3.196893745;2.652506379;3.573427214;3.16047711;1.782871309;3.050431069;2.129378169;1.768679498;1.724669964;2.246389822;2.343247091;3.856874939;3.002524861;3.396839694;2.658248341;3.940206135;2.023410917;2.801749062;2.790067972;2.473185723;2.746571006;2.527316505;1.655663899;2.492203766;2.715324117;2.050509268;3.439102684;3.260222671;3.123573662;1.907800807;2.738447124;2.54590752;2.606489751;2.876182653;2.700733355;2.405273229;1.773421061;2.935932264;3.139497981;2.071967109;2.86785299;2.748839438;3.977685785;3.540253645;2.804442835;3.043346959;2.721040875;3.176754089;3.29697038;2.833362389;2.248931316;4.100432029;3.351403308;3.656685268;3.507760207;4.687991959;3.067761669;1.921309923;3.429676582;3.060403248;2.935386981;2.590017988;3.947538447;3.796826922
0.2;-0.509581818;0.052476725;-1.163483406;-0.773017942;-0.051488073;-0.909044911;-0.689532889;-0.186638692;0.317863738;0.203625334;0.837455228;0.653238174;0.960295773;-0.614280951;0.092420103;0.771564067;0.704515739;0.332922177;0.287468269;-0.843064922;-0.845027315;-0.275230468;0.03060558;0.654961357;-0.159521386;0.390313242;1.262457272;0.292743246;1.558601363;0.926922778;0.806613864;-0.535606074;1.874357661;1.108430414;1.753366369;1.708324943;1.596996298;1.121338749;-0.378830145;0.121986318;-1.33017286;0.175761684;-0.632725404;0.714372387;0.146318771;0.725671655;1.354299141;0.466909715;0.675010577;1.022850169;0.151220947;0.548213941;1.242748877;0.676881904;1.481913271;0.739709875;0.137910588;0.670618161;0.655724178;0.663079049;0.623461033;0.542349941;1.727332489;0.996877138;0.389753154;1.306064297;1.690370094;1.403096831;-0.04451831;0.660686559;1.341179669;1.157154756;0.613195932;0.120906143;-0.188641256;1.012353437;0.201409435;0.371007071;0.654441951;1.243009682;2.321565814;1.598809284;2.275076794;1.94590353;1.161016547;0.838798702;1.088895954;1.223653105;0.953715644;-0.028513987;1.103573535;1.084656287;1.002371067;2.330220208;2.261846516;1.93083924;0.844446394;1.903047969;2.085702899;2.516750465;1.477555564;1.4058455;1.910562334;0.482612737;2.059099088;0.825868843;0.639022836;1.97835673;1.486891312;2.070721852;1.653966258;0.384839829;1.193965068;1.432673907;0.509028494;1.481796786;1.34896816;1.571670257;1.395494677;2.505349259;2.989390312;3.140742557;2.140307395;2.257439793;2.131506302;0.532923466;1.578723449;2.460715195;1.95672994;1.138153039;2.238431683;2.242572427;1.907444823;2.05592986;2.076917601;2.657590159;3.740183968;1.136977092;1.765775167;2.00040076;1.885503894;2.132892316;2.217948823;1.300448709;0.958469142;2.765986332;2.648170618;3.119101;2.672475945;2.61929064;1.0089857;1.99947629;2.207956373;2.239934817;2.04124712;2.714061459;1.619089797;2.735618335;2.645413648;2.470976538;2.683657587;2.344723816;3.141014938;3.096157901;3.104810719;2.135686174;2.139472497;2.268684622;2.392907743;2.092441215;1.330138259;1.40623662;3.468675666;3.327227364;3.189164022;3.195139292;2.476491359;1.016899678;2.697583186;1.741036722;2.431638434;1.90492567;2.290244254;3.598454752;2.81472352
0.233333;-1.436463275;-0.960767141;-2.893576534;-1.627533514;-0.864392842;-1.243278261;-1.327160423;-1.169211928;0.474667855;-1.18232758;-0.170466009;-0.300170721;-0.514328047;-0.33400355;-0.47969181;0.363377184;0.23788229;0.496922538;-0.397926811;-1.63121429;-0.700658887;-1.105024978;-0.858397452;-0.935975377;-2.263680673;0.306475265;0.787126106;0.270663159;0.197007612;0.659398429;-0.319410387;-0.65981442;0.482279537;0.509406004;0.805578187;0.626284292;1.12619313;0.978310204;-1.077833059;-1.163921918;-0.675571454;-0.374627896;-0.280148124;-0.201560929;-0.898347619;-0.090396227;0.002555422;-0.500687797;-0.057320646;0.148336943;-0.447249398;-0.06762432;0.855768509;0.605688614;0.633354029;0.223222137;-0.211662729;-0.755615862;-0.86158862;-0.075119548;-0.524823503;-0.780789092;0.325948161;0.357192248;0.849309933;-0.9146758;0.521067675;0.781924255;1.021133712;0.473338394;-0.584158769;0.505710358;-0.495024237;0.082902535;0.127555551;-0.380753954;0.155471504;-0.45585938;-0.058234032;1.445193457;1.431927876;1.380000666;1.738277971;1.058295313;1.14912674;0.47623419;0.135176772;-0.227061209;0.241481472;-0.10822316;0.003332028;-0.205710168;-0.291781615;1.148853887;1.395693375;0.489387399;-0.233343772;1.115138375;1.280157568;1.132821975;1.349436989;0.319066467;0.212865268;-0.196082796;1.10697471;-0.273539352;-0.044649729;1.50733642;1.553155187;1.04405359;0.822137262;1.321634119;0.646671862;0.896091924;0.720197105;0.909113693;0.203147786;0.050077242;0.490249323;1.319949169;1.402108347;2.035312822;1.340173151;1.621836152;1.540437338;0.664167018;0.630655505;1.000872421;1.660615678;0.432725069;0.670189578;1.605670715;2.188036537;0.712285554;0.736132542;1.668693142;2.960483609;1.390295266;1.17719319;1.502179853;1.622490478;-0.870303258;1.445114868;1.288261416;1.546888429;2.099400132;2.212523365;2.555793718;2.101505964;2.353057758;0.567478326;1.782150319;1.53438175;1.394285671;1.349790799;1.822070842;0.489255775;2.221408108;1.937904132;2.433893893;2.629277862;1.758276993;3.253079605;3.350331219;3.28089323;0.572115591;1.419828395;1.968510537;0.405585873;1.497343608;2.094572449;1.415584174;1.672843114;3.028876171;2.501520032;2.478579715;3.069269133;1.779455259;1.821699733;1.117035475;1.382104837;1.242884631;2.011002984;2.063765432;2.464841798
0.266667;-1.867532871;-1.291694861;-1.956540776;-1.593122013;-2.000279245;-2.104830251;-1.887780621;-2.031240259;-0.442054414;-0.918557765;-0.732418428;-0.781733205;-0.606515195;-1.41284516;-0.554189001;-1.338180294;-0.606079347;-1.195726365;-1.185427344;-1.923255772;-1.425368349;-1.982751788;-1.294461531;-2.418140342;-1.361592534;-1.072598384;-0.391802628;-0.674829996;-1.25622684;-0.208845075;-1.295069466;-0.764250352;0.369976207;-0.240855721;-0.267826615;0.349200657;-0.122651453;0.137552331;-1.329264377;-1.251247652;-1.298250835;-0.941458485;-1.073831061;-1.765960827;-1.236252408;0.352586604;-1.67269843;-1.593915343;-1.064094437;0.50971722;-1.052804152;-0.295258907;0.843542321;0.247510287;-0.386913478;-1.589401849;-1.162419504;-0.549120888;-0.857956454;-1.183957209;-0.851133153;-0.85925895;-0.954063681;-0.752636804;0.723213811;-1.223092052;-0.572872808;0.20496228;0.152903745;-0.671184105;0.020268808;-0.588615363;-0.24608197;-0.676913756;-0.676790422;-1.502349784;-0.303047613;-0.331360512;-0.408010262;0.226485875;0.374005095;0.254397707;0.912084643;0.06659852;0.989491337;-0.184286659;-0.53046947;-0.235887055;-1.037697862;-1.086791286;-0.58742329;-0.368498778;0.646321492;0.945961672;-0.027544052;0.793222427;0.61213854;-0.361285767;0.144202412;1.060809048;0.617445616;-0.628123722;-0.710368773;-0.265385504;0.374808856;-0.196916854;0.081285678;1.249712662;1.275808327;-0.350487672;0.531496222;0.873438547;0.558721698;-0.485958183;0.199411197;-0.140517982;0.044479616;0.233282595;0.570465622;0.789593978;-0.291611371;0.311733466;0.783236209;0.905921586;0.902738003;1.11253573;0.327560742;0.312052779;0.501032991;-0.194069711;0.06614657;0.722190535;1.36397759;1.242400281;1.561650567;0.662626406;2.347855011;0.017795221;0.854016906;0.509820027;0.680726781;1.230076285;1.15792187;0.713361621;1.40994579;1.648877638;1.003784405;1.681825009;1.215939118;1.327905779;0.393915137;1.547055433;1.087027549;0.185166061;0.257391843;1.268067001;0.235751596;1.435101517;2.140118973;1.736535037;1.385166399;1.862398432;2.296624424;2.015450656;2.187976212;1.353616665;1.886747294;0.80946427;0.823758016;1.077896529;1.632043186;1.066591027;2.24305235;1.892862745;2.102751313;2.137922693;2.666641638;1.966712154;1.284563698;0.893522741;0.699264732;2.059272469;1.433936515;1.557623889;1.691463301
0.3;1.245828096;1.523173066;1.308521803;0.930469461;1.411364653;1.075953531;0.908119719;1.387435346;1.161392863;1.294243733;1.618999616;1.140349884;0.992260206;0.883249463;1.01932323;0.989435862;1.377772412;1.47777788;1.305003825;1.356771516;1.21157748;1.414666187;1.21173366;1.069812981;1.26702088;0.810649241;1.120954403;1.368071992;1.315678708;0.856846226;1.295311361;1.060508143;0.759500145;0.862876669;1.194618846;1.643877938;1.658445036;1.733175791;1.20619834;1.544747763;1.433115544;1.065021027;1.336215836;1.271272128;1.442487007;1.1810567;1.090791909;1.431253993;1.175221253;1.53447681;1.207304175;1.4568072;1.49399568;1.607656979;1.437466274;0.866538016;1.398443862;1.422972086;0.786990386;1.325834482;1.313246193;1.014903186;1.328895124;1.152617224;1.444803716;0.703495027;0.949676858;1.871243522;1.367557502;1.495993708;1.870224752;1.210370779;1.430604497;1.243627946;1.302505975;1.679470397;1.189996559;1.365375685;1.389440385;0.995573407;1.819467539;1.121256335;1.295569862;1.611607178;1.643715132;1.206071331;1.374548349;0.932044434;0.789673972;1.217723635;1.018642226;1.12729999;1.533125516;1.697817413;1.133475723;2.078248066;1.745264973;2.018567977;1.000902967;1.958357629;1.754519488;1.409424564;1.62367447;1.589542438;1.193329676;1.310469;1.380767578;1.85202471;1.806058685;1.204606665;1.212491091;1.263006978;1.047783664;1.124517673;1.270829186;1.369326182;1.602749821;1.039697633;1.982986483;1.577160171;1.446161037;1.744752044;1.592196871;1.327589293;1.497784813;1.427779662;1.569980357;0.905852676;1.409685904;1.607449409;1.583204896;1.377023015;1.342710865;1.232041065;2.086307663;0.702354178;2.708658711;0.994765986;1.875098235;1.133844645;1.300949176;2.204179972;1.857591081;1.808338162;2.224078975;2.095147566;1.642994304;1.902884792;2.523387402;1.598547311;1.702885471;1.157936191;1.805067462;1.753936731;2.089892391;1.963843789;1.824145375;2.000877939;2.366213696;1.73798358;1.991109368;1.685588999;2.366922212;1.83473178;2.778487529;1.795509271;1.918644679;1.064142253;1.943025676;1.151080107;1.417081095;1.980510317;2.513594541;1.553742452;2.045007305;2.533747149;2.194246628;1.537707887;1.573579223;1.676675576;1.525686487;1.84258836;1.771058233;1.378974595;2.071229125
0.333333;2.607623456;2.548463239;2.522662002;2.533072528;2.604556695;2.509456737;2.521757675;2.489113845;2.530131151;2.481625955;2.572791125;2.527088673;2.590920409;2.53659494;2.383104069;2.412393129;2.539256401;2.658695797;2.712513972;2.640302754;2.564031587;2.795534654;2.629829096;2.53905748;2.663328483;2.465065902;2.598640737;2.72557939;2.648136962;2.663377323;2.649668382;2.596276967;2.549106763;2.709749215;2.500560636;2.651229276;2.654151174;2.761449268;2.67217241;2.668997446;2.74156404;2.762339431;2.693070435;2.800637489;2.719882346;2.504946837;2.708596391;2.73730327;2.726162382;2.641568732;2.59824584;2.615284972;2.591290041;2.874726054;2.750521119;2.619272825;2.685262234;2.61931749;2.494170623;2.530326919;2.590409043;2.698175126;2.770792844;2.607583693;2.401858771;2.443393783;2.527638739;3.018952142;2.820898454;2.569936884;2.832274338;2.76848067;2.795618418;2.690795179;2.654684859;2.83108001;2.574379418;2.672682577;2.62994707;2.387189529;2.55671716;2.613571451;2.520898535;2.829211009;2.777441375;2.64774317;2.82026949;2.671182835;2.457165025;2.632871318;2.628026341;2.667348902;2.721758002;2.593255559;2.509320151;3.002698255;2.716064542;2.912614445;2.590816729;2.7711977;2.781470976;2.713862036;2.707442091;2.759841742;2.814644944;2.719068394;2.816380598;2.881197899;2.793655527;2.693255729;2.749487057;2.724736599;2.765285675;2.930817353;2.869029348;2.752631367;2.814031218;2.672669156;2.869012931;2.946694086;2.905908669;2.932104472;2.990170574;2.847717287;2.783745003;2.794422722;2.784729535;2.805179494;2.708747131;2.727996121;2.917408811;2.722759177;2.730253047;2.647690729;2.654529509;2.518646686;3.340392172;2.842928793;2.791213704;2.602947416;2.557763275;2.80262365;2.763497978;3.00337654;3.230780713;2.723443684;2.975840093;2.89912611;3.365115497;3.191679535;2.983835775;2.853201073;2.715485156;2.833516779;3.080203826;3.045691283;2.927577012;3.06202315;2.903241083;3.035440876;2.77947706;2.802637506;3.1878168;2.784856337;3.219122005;2.808802626;2.693072214;2.578694879;2.984002015;3.040378186;2.525282762;2.991752625;3.169003202;2.939079571;3.372283732;3.30242552;3.297478081;3.18899563;2.783736499;3.026957646;2.792747792;2.850999076;2.674309249;3.346673193;2.811795598
0.366667;1.340995583;0.999271784;1.113115249;1.393241636;1.299720762;1.203994209;1.314582106;0.753487721;1.26191193;1.186724576;0.953401939;1.162598101;1.71182111;1.541272294;1.115830201;1.360061313;0.960734127;1.4557565;1.405200747;1.298418521;1.270385335;1.530793615;1.392928199;1.28877762;1.2892179;1.141619527;1.408075326;1.488329899;1.306514728;1.655447826;1.467614354;1.379231821;1.472098053;1.764118615;1.293937206;1.145441431;1.143333447;1.242569606;1.377548987;1.104489596;1.445465783;1.734123175;1.475029643;1.505197133;1.536677215;1.560599451;1.672666513;1.542606757;1.750084;1.299244237;1.236998758;1.304422285;1.112473084;1.598808885;1.570666985;1.648392899;1.355416875;1.260787854;1.481196379;1.276392042;1.432248173;1.533696886;1.553639525;1.602181655;1.134747695;1.53448686;1.805509441;1.729418399;1.576623388;1.181708753;1.146722809;1.748129193;1.747647056;1.327524509;1.279833561;1.516093831;1.299609958;1.471268064;1.50275625;0.968423214;0.923658374;1.743399131;0.648223613;1.85876652;1.574499418;1.353667546;1.649120138;1.653501699;1.21311962;1.387408011;1.684601954;1.343351739;1.071128341;1.560542183;1.319550522;1.742521858;1.313629132;1.410041952;1.301316127;1.498532984;1.417111917;1.453689753;1.237882379;1.385964183;1.759458192;1.44669183;1.873717251;1.825786014;1.945249808;1.580540137;1.657873603;1.3576614;1.809641054;1.875826161;1.809162522;1.411299313;1.432646237;1.440793351;1.422847941;2.031744225;1.855717957;1.229329532;1.820659198;2.026105866;1.820971126;1.88900813;1.623740334;1.807979736;1.651879001;1.574788141;1.658688582;1.468435438;1.274688286;1.603947059;1.369359219;2.054768269;2.187478385;1.69953002;1.011540141;1.099420632;1.020129281;1.1010948;1.486113646;1.882191653;2.150835046;1.199376567;1.801508294;2.2006975;2.097194934;2.392165392;1.817715535;1.587705635;1.358101217;1.657545936;1.911716343;1.980959679;1.591697621;1.603726824;1.840339646;2.386648391;1.406849641;1.80598741;1.939449272;1.986411248;1.463429109;1.792460384;1.462741236;1.187353962;1.856522161;2.33931445;1.591197851;1.80584938;2.200617525;2.070840188;2.099040015;2.347971973;1.88841038;2.311509903;1.38108032;2.097129777;1.323090528;1.924634093;1.618039935;2.376033404;1.71640332
0.4;-3.573394646;-4.368763216;-3.527352563;-3.041804331;-2.927602706;-2.751370759;-3.204626636;-2.374748328;-1.333274102;-2.18692951;-1.780372432;-1.44119113;-1.815210465;-1.495565852;-1.020885305;-1.00826596;-1.453284563;-2.66935583;-3.596570624;-2.783860687;-2.934827227;-2.472112768;-2.697461764;-2.736246289;-3.252202005;-1.970206021;-0.939291197;-3.634195377;-1.460137773;-1.316187488;-1.266585777;-2.074451937;-1.690087193;-1.142902859;-1.591581714;-1.317216834;-0.952779845;-1.178041547;-2.619296891;-2.001596191;-2.602894961;-2.021977282;-3.177521645;-2.385021658;-2.688774888;-1.386904341;-1.709431281;-2.135431382;-1.500896079;-2.213749832;-1.298305194;-2.076990074;-0.76869934;-1.01896092;-0.103285257;-1.65462826;-2.765260052;-2.689186223;-2.417717262;-2.469870409;-2.183125537;-2.52718781;-1.918038644;-1.13450906;-0.861789469;-0.384062943;-0.551390753;-1.080309652;-2.166655336;-2.562360935;-0.827503787;-2.060656583;-1.700226425;-2.377433488;-2.474632375;-2.506743834;-2.665221442;-2.249958062;-1.493912486;-1.386461988;-1.746001291;-1.288230117;-0.207336683;-0.517667909;-0.49276651;-3.018395094;-2.273776325;-1.998864518;-2.157624977;-2.853337211;-1.402522104;-2.417015805;-0.974748695;-0.493232061;-1.775129151;-1.678541152;-0.967138178;-1.323611388;-1.283600305;-0.64582563;-2.258796706;-1.769851714;-1.496824159;-2.089082347;-2.44054785;-3.052746607;-1.276366875;0.128916528;-0.393480349;-1.34678385;-2.231118169;-1.558743621;-1.634886452;-1.019054474;-1.491121082;-2.050699522;-1.380313662;-2.006624256;-1.27997312;-0.444556007;-0.365465664;-1.312603492;-0.670091236;-1.626113266;-0.191301625;-0.464226508;-1.620194457;-2.190457699;-3.326767508;-1.85993562;-2.288572852;-1.730790403;-0.4583319;-0.757223023;-1.300538646;-0.155947906;-0.146111766;-1.672310073;-1.404475919;-1.422041601;-2.22190446;-1.564437181;-1.368241359;-0.86863239;0.25277955;-1.692831592;-1.028382318;-0.30151399;-0.583110388;0.310223918;-1.039074905;-2.170105373;-1.202686523;-1.317915245;-0.44611049;-1.682799854;-0.367743761;-0.003416725;-0.420011579;0.701401758;-1.436382444;-0.877692255;0.439930531;0.300164329;-0.439958966;-1.093361385;0.027004971;-1.47478172;-0.63094582;-0.068249124;-0.154464466;-1.457802182;-0.343944114;-0.074800461;0.159963506;0.404088921;0.082388601;-0.856786506;-1.537945034;-0.890704099;-0.80665557;-0.938957057;-0.36449929;0.649555218;-0.104891773
