Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197
0.1;1.981764334;3.559554077;3.168712872;3.000351164;1.132073883;3.228337479;3.642886386;3.364338612;3.299672985;3.009791121;3.383669411;3.256298608;3.734230625;3.292623642;4.289464656;4.480225563;4.081655058;3.29667793;4.927277186;4.514532711;3.739553179;2.65767885;3.068417929;3.008448072;2.613859338;2.738319064;2.501447782;3.461706704;4.321696279;4.363720407;4.24364414;3.72203095;3.428981334;4.165267142;4.171930021;3.041988743;4.297830796;3.559391693;4.086908111;3.352686781;3.444944114;3.336424328;2.801878969;3.539912017;1.918988201;2.418453682;1.74472496;3.906704349;3.576730655;3.219093334;4.35401819;3.965199629;4.048473755;2.702033212;2.892400557;4.452589124;4.301530724;5.156606342;4.83810634;3.437564738;4.540947053;2.156674144;3.206861889;2.389459907;3.64540531;2.128523957;3.456327025;3.771970984;3.308798199;3.697389618;3.821905317;3.983934031;4.521798753;4.225470104;4.372864351;5.143355275;2.866454305;3.111475773;3.617946734;2.920293112;3.033249126;3.399405566;2.966528802;4.25962949;4.02107237;3.53539355;3.831061673;3.286594319;3.847525693;3.976205917;4.398156306;4.114983333;4.519059814;3.650007936;3.721101774;3.217729751;3.561238362;3.842267558;3.552084689;2.983808928;4.29504181;4.85714301;4.308740898;4.691288353;4.627446239;4.073160769;5.145968718;4.436100104;5.347781095;4.332562795;4.422703663;3.722127741;3.650268275;4.287118288;3.412359092;3.351707862;4.60744327;4.927102222;4.996960168;3.884270669;4.272307083;5.009028726;5.198843156;4.773223138;5.581829925;3.842103005;4.212805743;3.846724026;3.105085475;4.568519392;3.687056294;3.031564734;5.126413222;3.386355447;4.908440786;5.190450287;5.637868192;5.196560082;4.467891032;4.426974072;3.359206621;4.025716553;3.82198188;4.373942035;4.678931377;4.580093658;5.016723442;4.96586054;4.824199515;4.317941953;4.846541354;4.320730211;3.641399186;4.264472333;3.996898677;4.058967241;3.346203861;4.506698022;4.109864598;4.888868865;4.464527075;5.175752366;3.841673814;4.797099612;4.990029372;4.712225199;5.594933835;4.131799136;3.588054708;3.544962607;4.309142333;3.562554854;4.528428117;3.351294309;4.906265754;5.433352809;4.78281653;4.488365703;4.504425483;5.429559477;3.701239075;3.42392131;3.811562243;4.187862638;3.523001;3.588606032;3.901634359;4.452959531;4.911712492;5.030967821;5.264198523;5.116524472;4.356950613;3.798986401;4.205616178;5.503752006;4.300084862
0.133333;0.803917616;1.685683054;1.046832707;2.283155743;1.421201245;1.357900027;2.230934565;2.44298713;1.950504657;2.668311044;2.334772542;1.29326099;2.305305939;2.506347434;3.45318875;3.32939487;2.243720789;3.270219468;3.521793971;2.798537809;2.493517952;1.062986818;1.412680841;1.852796117;2.28682827;2.348096128;1.086940688;1.876017737;2.773650851;3.291833956;2.289659602;2.812209016;1.553721665;2.200998199;2.93310257;3.058484247;2.757319188;3.172357693;3.570794824;3.328459816;3.389981318;2.355624544;1.614515348;1.811679186;1.469500338;1.48110923;1.345700419;2.337367269;2.054918098;3.185981345;3.403622564;2.047796077;3.934035222;2.888238688;3.284990652;2.815538498;3.652072083;3.121835697;4.090006528;3.589259092;3.433949438;2.219359017;2.048873745;1.335597249;3.48304554;1.69302491;1.925980366;2.077363419;2.117247719;2.58601403;2.49718459;2.984120877;2.81695062;3.554825491;3.480961153;3.549524382;1.442710014;1.016861277;2.267820608;3.057730257;2.100278638;2.597463166;2.166481385;3.774235607;2.955687267;3.609795802;2.582536877;2.854621631;3.212765552;3.689774074;3.372238445;3.482341489;2.360950471;2.332179631;3.194557397;3.048217485;2.638573217;2.30995667;2.406089798;2.953346578;3.957218741;3.190593127;3.597957418;2.76193644;3.445460411;4.079468807;4.207778311;4.401020426;4.586368635;3.007757641;3.022342455;3.178353441;2.520764065;3.747526563;2.658642658;2.918223881;3.640778702;3.531860077;3.867246359;2.542464573;3.653611473;3.728334273;4.211092117;3.234310712;4.048653795;3.126652826;3.192528726;2.859584317;2.818391097;2.942490241;2.330528336;3.037289465;3.973554779;3.069054965;4.163262575;3.623568512;4.109586064;3.674147581;3.179649471;1.944674041;1.264128828;3.693204446;3.355540972;3.468781585;3.000562285;3.756510781;4.353503732;3.397494434;4.239849629;4.048123069;4.266851891;2.493773545;3.556802775;3.104292784;2.921510162;2.835970011;2.544338139;3.450654472;4.093898011;3.70748467;3.672801937;3.414280416;3.450825225;4.251663978;4.152036667;4.32036496;4.550741339;3.298689237;3.496053801;1.968417439;2.905704542;3.473777884;3.20188593;3.019633145;3.787282713;4.598859954;4.670767687;3.707424143;4.001485154;4.993887597;2.977212182;2.552655694;2.963629861;3.622305193;3.069489144;2.667124616;3.735927162;4.809961831;3.950786463;4.34060104;4.402335476;3.889957736;3.361150252;3.316124284;3.415832737;4.100605103;3.704188226
0.166667;-0.203843851;1.130267696;0.183971399;0.774759548;0.981837333;0.385110207;-0.002500622;1.414782887;1.974800855;2.047189963;-1.144065563;0.822585433;1.348018447;1.659437479;1.70663672;2.238657977;1.50428628;1.671868403;0.386278548;1.158356358;1.954661328;1.179451572;1.021467733;0.861065752;1.565662299;0.629320846;1.40125624;1.07490888;1.215344038;1.766959319;-0.12620334;1.666582795;1.388611295;1.408615779;1.75521146;1.55408655;2.171245496;2.324486761;2.492387367;1.693593423;2.679862739;0.778416382;0.739553743;1.082797539;1.537461189;1.26402113;1.038359696;0.552208211;1.848894378;1.94132748;1.242407998;0.956092401;2.195042388;1.565169637;2.576093834;1.085539974;2.307348653;1.700460966;2.847736587;2.780659864;1.784533155;0.636887919;0.246611246;1.141467419;1.707941695;1.164212995;1.417968008;1.533389384;1.925337775;2.506511984;2.118829624;1.993822092;0.487019324;2.234950506;2.525101107;3.255437706;0.998415868;0.881018917;0.554614229;2.06407016;1.393577776;2.045480816;0.974976582;2.532990517;2.216481361;2.40325594;1.563714319;1.99970261;3.043751197;2.638740446;2.446322193;3.623200782;1.25533955;1.799959422;2.321523734;2.298036146;1.891506117;1.46087582;2.084569474;2.732979063;3.057061575;2.596420108;2.790538194;2.058695008;3.190562291;3.510702975;3.174322357;3.821313403;3.334814941;1.190260825;2.457347155;1.960107281;1.065260595;2.171977872;1.769443898;0.896679295;2.693349293;2.468411135;2.754105392;2.048862747;3.251287467;2.50996903;3.324855208;2.94979591;3.243080102;2.036595895;2.022249057;2.607407947;2.062904268;2.301385691;1.974654531;2.494267479;3.392840518;2.980704238;3.201392487;3.256806983;3.638513778;3.463858615;3.147298605;2.455651744;1.12351689;2.842887142;2.018538039;2.391866192;1.840748314;2.284015789;3.827475367;1.711900426;3.6831071;3.596407119;3.525522774;3.08090947;2.343005464;2.293448576;1.794013189;2.779739833;2.590883701;1.581333116;2.547683127;2.212125382;2.835027259;2.871881275;3.490216357;3.391306272;3.531630131;3.820801305;3.183670119;2.529920097;3.274224048;2.274032931;1.548442274;3.151644119;2.043604958;2.97216226;3.097535608;2.781051918;3.407127908;3.003770042;2.844393734;3.880414631;3.362480021;2.896572241;3.081711479;2.151768631;1.530273942;2.313435648;3.639613701;3.876889647;3.724725667;3.546062245;2.919997367;2.700335823;3.272818137;2.584214842;3.021770026;3.172953203;3.619128036
0.2;-0.096292886;0.258684472;-0.309313158;-0.656210853;-0.662583716;-0.411122532;-0.748340846;0.768539359;0.446412762;0.453459775;0.029798066;0.496952846;1.216960662;0.459916307;1.346910835;0.81763653;0.321917462;1.213193449;0.582365842;-0.510013422;1.464047927;0.476831765;0.221260727;-0.895423095;0.626937777;-0.166615841;0.320872391;-0.512944298;-0.198631702;0.895096434;0.740045234;0.322369569;0.427724552;0.760977958;0.747945214;1.138285432;1.416046581;1.801084828;0.885722141;0.495976792;1.68001582;-1.222273062;-1.457182022;-0.799316732;0.548405294;0.109245336;0.229444583;0.405072767;1.317619175;0.000234767;0.688787343;1.227776925;0.227487719;1.248445216;0.913269561;1.939352855;1.999529155;1.079606209;0.956168301;1.256774291;1.566627395;0.190290936;0.165047508;0.272053404;0.142278572;0.710101712;0.091653741;0.63227607;1.610077904;1.877838201;1.411826409;0.887073174;0.708578929;1.318839811;2.218068301;2.589575396;0.449530924;0.238677428;0.359477664;0.543561296;0.448480698;0.696807505;0.205063483;1.314120519;1.812939427;1.218507207;1.135105203;1.121485681;2.144551772;1.992297525;1.407098668;2.741120549;0.647397615;0.999564242;1.112869373;1.762982624;1.214567461;1.442550429;1.62333177;1.968940016;2.261331927;2.344561433;2.424161923;2.10530409;2.583525087;2.83425869;2.514076215;2.854960947;2.676159612;1.060255858;1.634680509;1.23616604;1.044386641;1.779420127;1.214394103;1.373052225;1.57304;2.270245695;2.679957942;1.730889936;2.004037485;1.410126154;2.074761442;2.823131146;2.607048686;0.179993502;0.583030267;2.153412025;1.436842077;1.750035362;1.47166194;1.871837503;3.185613452;2.853306261;2.625195498;2.93973296;2.143139862;2.931763139;2.27301538;1.86208541;1.727577271;1.643073757;1.209253593;1.934074192;0.914264049;2.800648815;2.744677214;2.686516312;2.767818454;2.498736187;2.904842062;2.805421293;2.025236704;2.001454179;1.879880796;2.544982257;1.733196468;1.118984519;3.066781766;3.16673787;2.090390953;1.945709915;2.83783366;2.262467507;2.824647156;2.90131099;3.105681647;2.82118154;2.066541539;2.683983728;2.38765569;2.183917385;1.444930877;1.867199425;2.63800745;2.512825164;2.786440986;1.503889869;2.121673649;3.536298976;2.152168088;1.604569399;2.322340443;2.515158093;1.866347062;1.355921938;2.962974609;3.037934983;3.08569207;2.893853016;2.455778378;1.984493534;1.712238683;2.359413565;2.019597026;2.992573761;2.999589738
0.233333;-0.903745483;-1.020982375;-1.434139449;-1.203534287;-1.508602729;-0.801687533;-1.659242835;-0.254369193;0.317037724;-0.459775597;-1.096105585;-0.722344588;-0.127897795;-0.024549542;0.54722026;0.710296147;-0.495833927;0.402842417;-0.725463099;-0.008554912;0.60102748;-0.33063604;-1.695478454;-0.557814791;-1.535150164;-0.317803611;-0.993125432;-1.228349561;-0.065999678;0.23903574;0.514150977;-0.053048503;-0.459541235;0.165231933;0.212394824;0.244169044;0.658410059;0.773209734;0.514039704;0.749351527;0.62600713;-1.614618003;-1.548999302;-0.656368191;-1.342578874;-0.303364905;-0.110927675;-0.581539642;0.328145961;-0.006691278;0.752307827;0.753780298;-0.716936103;0.733862073;-0.691794515;1.674360045;0.772110125;0.95658765;0.524125001;-0.243543319;0.349233455;-0.446939149;0.116382711;-0.84735359;-0.354615608;-0.69014709;-1.428069648;-0.042347814;0.813741899;0.55080477;0.6005291;0.480320102;0.82088878;0.855971863;1.569794081;0.79551552;0.553113612;-0.364451881;-0.038187517;-0.905078977;-0.607075617;-0.649028713;-0.432929001;-0.016705684;0.081589702;0.111269377;0.08559237;1.496677446;0.963352437;1.043230304;0.880839924;1.493987482;-0.131640302;0.270127834;-0.360806853;-0.737552002;0.294556188;0.030632805;0.673289726;0.461226894;0.934731983;1.117695886;1.117117115;1.438423416;1.666934298;1.966878431;1.291832686;1.084127854;1.446879938;0.594920241;0.246828576;1.029435427;0.802071333;1.044012344;0.334280698;1.133414339;0.81946704;1.748540722;2.27329462;1.731700308;1.990117436;0.32919959;2.439920781;1.957031902;1.955350382;-0.256466255;1.000031713;1.217040231;0.07048095;0.267051471;-0.157414661;1.286407792;2.616013924;1.281264594;1.681692928;2.063349455;2.251855327;1.367568691;0.812308376;0.734647355;1.016527618;0.257168541;1.154192158;1.251661769;1.077785061;2.571752304;2.064301846;2.10707953;1.30645318;1.643285083;1.723385632;1.758430794;2.223087904;0.175464957;1.466180178;0.731857777;1.070285439;1.01428023;2.285417611;2.791768669;1.024782587;2.02348374;1.648106963;1.993320825;1.500553147;2.513242514;2.929253456;2.126853136;0.874208683;2.085067338;2.113260234;1.978366598;0.115820767;1.366311798;2.570023333;1.630306223;1.890000705;1.626278636;1.695856939;3.006503131;1.630435966;0.65169824;2.191978837;2.020093668;1.506072273;0.867779431;0.834246645;2.338833133;1.87732541;2.572877382;1.643375888;1.673794684;1.810922647;1.192315989;0.579837539;2.541692036;1.709138353
0.266667;-1.936141748;-0.90128096;-2.391829075;-1.325550259;-1.861539364;-1.692962177;-3.00810828;-1.020470731;-0.257659191;-2.358550829;-0.802274636;-1.836954003;-1.044439022;-1.510181001;0.131382074;0.019459105;-0.060624207;-0.370094083;-0.461287652;-0.297217032;-0.276723659;-1.218607874;-2.314664198;-0.42201584;-2.90278183;-0.84453319;-1.110665176;-1.997592085;-0.636145236;-0.561571458;-0.323282227;-0.308492541;-0.572310438;0.043893653;-0.155207559;0.39122529;0.528884184;-0.086544826;0.062399432;0.588100502;0.037675773;-1.016105417;-1.243533419;-1.1094481;-1.29354571;-0.867165465;-1.181499555;-0.937127232;-0.50533577;-0.342910365;0.699852788;-0.992953424;0.074765918;0.323758275;-0.60035791;0.170053167;-0.281914734;0.658839148;0.439847124;0.309022373;0.275376598;-1.293311563;-0.907564572;-1.231747938;-1.254042587;-2.396684307;-1.438373304;-1.036393824;-0.63869584;0.232881876;0.343520968;-0.122234541;-0.57092064;0.374459839;0.938793729;0.67244383;0.121065264;-0.232149259;-0.876986431;-0.737943058;-0.602290105;-0.941611557;-1.176474023;0.243481965;-0.525980156;-0.72389479;0.05834976;0.909282572;0.223990465;0.219373772;1.148596271;0.627899083;-0.834710269;-0.692228415;-1.231174348;-1.322657336;-0.751662358;0.007604235;0.271346709;0.444421509;0.227113612;0.365993324;0.460426312;0.305980746;0.370153586;0.63690703;0.347686609;1.777590938;0.12172344;-0.465616672;-0.67612411;-0.724282662;-0.274465222;-0.830553753;0.135632637;-0.743279588;0.851324071;0.530247329;1.522836373;1.336505843;1.095718823;-0.247157274;2.165205056;1.365207379;2.073648907;0.126249464;0.052610502;0.47712581;-0.203831412;0.137952795;-0.176504198;0.740001504;1.472142749;0.874340797;1.356314033;1.730611622;1.727174598;-0.672489816;0.189366339;0.079012919;0.042183045;-0.498901388;1.090151632;-0.512773704;0.576677817;1.52995677;1.560361973;1.633112928;1.560967557;0.871504209;0.590027879;0.430462698;1.224696644;-0.406825501;1.381722933;0.825220691;0.39151957;0.81527725;0.489307663;1.149165725;1.015495885;1.980423559;0.878607244;1.013762114;2.395569554;2.399122062;2.15587714;1.099691499;0.802171538;1.450184974;0.813137777;1.262322181;0.885425717;1.70067995;1.368309263;1.239075958;1.285867048;0.658379284;1.313075018;2.152943105;1.209819053;0.541426752;1.937608425;0.456720475;0.448513393;0.516528106;1.524868505;1.263538558;1.635576544;1.393790531;0.730795169;0.734359622;1.680829383;1.146443988;0.485744271;1.254178901;1.816239721
0.3;0.568925411;0.659819409;0.663076695;0.588300313;0.522553308;0.45302851;0.31117043;0.672530523;1.112250695;0.748238728;0.874298076;0.727688815;1.091765037;0.042629769;0.966777152;0.315569182;1.477768343;0.622639207;0.761122485;0.640177286;0.808333348;0.625042505;0.53172082;1.097755583;0.529874333;0.635947463;0.878391733;0.132704637;0.13578525;0.946022202;0.931565235;0.694266115;1.076990445;0.748455401;0.921007596;0.46192523;0.2819913;1.101551251;1.033427881;0.586112865;1.223642713;0.394542104;0.740426106;1.029562278;0.073122285;0.846929046;0.147285393;0.479704943;0.788201558;1.052097919;1.146407687;0.953160615;1.21664533;1.417211794;1.227296527;0.90748865;1.136391098;0.53078771;0.482509318;0.585380882;0.953419878;0.618420019;0.569310607;0.766925173;0.420653758;0.521429674;0.405637875;0.922860513;0.848341681;1.017734145;0.788891843;1.439671104;0.627268048;1.077346072;1.428245979;1.352550045;0.552663873;1.003877538;0.849040594;0.69355932;0.48948998;1.061168649;0.373722323;0.482000264;1.113772095;1.065206836;1.307271036;0.874546458;1.245252995;1.470152467;1.494487935;1.42398256;1.436251633;0.466415413;1.389278105;0.671687793;1.102448399;1.008732331;1.020235779;1.030480855;1.630813059;1.001290658;0.758475771;1.267262545;1.122300117;1.263503863;1.226890513;1.909027802;1.251403928;1.064152171;1.016137823;1.306950937;1.075209825;0.763494739;1.04746794;1.350015262;1.386915303;0.804054018;1.126031876;0.569533909;1.123003453;0.799207009;2.080679147;1.898204361;1.858442773;0.905341406;0.76247073;0.757771014;0.938033967;0.777549733;1.279910007;1.596032107;0.992983088;1.281777748;1.248498762;1.961689948;1.67978155;1.867184412;0.645023255;0.80048124;1.056027774;1.77311845;1.037688122;0.915315589;1.064700264;1.107240445;1.861835136;1.009681272;1.117467347;1.757575387;1.631569684;1.245940923;0.978307586;-0.054099647;1.504139294;1.240925356;1.407147602;0.811893055;1.181573997;0.864201007;0.602056842;1.254791782;1.758204888;1.002348118;2.664032725;2.607166492;2.423829265;1.38862175;1.995792892;0.980316687;1.595883371;0.849677102;0.949153282;1.817792351;1.507021908;1.792245846;1.84941687;2.133028708;1.584650216;2.576365063;1.731751294;1.676100861;2.238296011;2.193449475;1.472123799;1.501648811;1.542265078;0.931073622;2.02147746;1.760283528;1.916434491;1.290004951;-0.009014163;1.053846614;1.447239203;1.220369169;1.699102395
0.333333;2.08533598;2.007018592;2.005721532;2.022855199;1.970625724;1.913472111;1.851720267;2.080102365;2.017008268;2.037435276;1.961138406;1.999255831;2.136220497;1.987846438;2.083347788;1.748996716;2.124189993;1.849696348;2.088794081;1.749394724;2.075573355;2.095024076;2.088059087;2.066602149;2.033887567;2.042657039;2.10020584;1.897469523;1.93873697;2.124383241;2.100824199;2.00836572;2.024648687;2.010399447;2.232118957;1.985795579;2.045916166;2.144947988;1.97677424;1.982997757;2.145956531;2.028712393;1.982319545;2.241399004;2.03020524;2.164274783;1.940232806;1.932048765;2.170809025;2.281895071;2.337808805;2.209355353;2.225494355;2.338714746;2.149885029;1.971773164;2.175173743;1.647985182;2.14067584;1.810472286;2.373867389;1.959073533;1.944565775;1.910167174;2.02119533;2.034671808;1.940015864;2.067286484;1.992784492;2.04612934;2.188471122;2.31548295;1.659393903;2.330987332;2.103586747;2.52734263;2.044947002;2.100738348;2.13756104;2.057529104;1.946913501;2.091246392;1.953730076;1.806437822;2.115905199;2.147032946;2.103151659;1.882637275;2.358298582;2.043456805;2.404906636;2.36406207;2.474627651;2.17759936;2.204910362;2.171171952;2.08823467;2.389949903;2.15028015;2.140572998;2.217874226;1.825922674;1.952835244;2.347579297;2.358171186;2.084729913;2.174050974;2.149149412;2.3185014;2.169711187;2.227743363;2.547430234;2.246090766;2.349005244;2.119342703;2.406291944;2.514554652;2.164423131;1.983156166;1.988648006;2.248197834;2.044991333;2.498674457;2.375876188;2.258911269;2.154777244;2.175660457;2.071915322;2.177370053;2.164481197;2.308758649;2.18101752;1.937270178;2.090552422;2.070957575;2.29638919;2.192862034;2.59093133;2.245678045;2.168313864;2.132811172;2.717652929;2.064517077;2.472133385;1.994797193;2.059526029;2.406962688;2.003686372;2.469876421;2.432894152;2.404506019;2.267148932;2.213443884;2.144073065;2.096562692;2.243726179;2.389293185;2.129723786;2.25875257;2.106757747;1.995519801;2.270282069;2.842783795;2.382265211;3.003784131;2.736646249;2.603518169;2.48670477;2.629287982;2.351679451;2.41667026;2.288308561;1.814429806;2.46885842;2.114257062;2.674834967;2.43105549;2.382155656;2.646130531;2.880279126;2.430873756;2.246958427;2.647360119;2.911958965;2.757594001;2.243726341;2.009430543;2.207344562;2.46695749;2.93816303;2.149271919;2.748761684;1.971698624;2.415802498;2.067006254;1.633364264;2.520940406
0.366667;0.9429984;0.884182292;0.597696729;0.909644501;0.790196927;0.746045378;0.555833204;0.897013437;0.759395253;0.779835982;0.944851763;0.662298104;0.87666971;1.005868159;0.903909285;0.634597056;0.554804243;0.474220512;0.832094891;0.45571846;0.736440442;0.774813089;1.007855785;0.502681887;0.734005796;0.903479599;0.801317062;0.807068874;0.95529967;0.920602706;0.674773943;0.752479612;0.476756527;1.040386449;1.0106302;0.358780535;1.156735702;1.023041433;1.019891946;0.866281058;0.752640289;0.756363506;0.865619598;0.76608214;0.964760622;0.814257394;0.92526449;0.654662186;0.829016337;1.231490025;1.166036886;0.953106779;1.190184048;1.131405503;0.964957026;0.731519995;0.617225904;1.000559788;1.227125884;0.713487949;1.184895305;0.696251735;0.814670412;0.540433603;0.809400807;1.013096344;0.874131731;0.767002037;0.645013899;1.005825745;1.185137502;0.847640043;0.42190703;1.006575842;0.726948128;1.266119403;0.983117527;0.78282564;0.973477271;0.665504826;0.623948358;0.433440667;0.603275578;0.799056214;0.814407129;1.078789645;1.155985975;0.596395427;1.326657162;0.384130054;0.942159547;1.154012429;1.112638868;0.901105626;0.655812582;1.148217345;0.631490483;1.319454067;0.922099491;0.91720003;0.467294441;0.604248444;0.803095981;1.164906495;1.634709716;1.037097964;1.163838924;1.217580314;0.98861339;0.745302431;1.171078242;1.409210873;1.181152086;1.102423777;0.666477628;0.91757571;0.837657012;0.905224432;0.762325579;0.694601815;1.309724575;0.676356007;1.347196675;0.835742203;1.251358128;0.511184302;1.227138097;0.575647434;0.868141571;0.845582593;1.145916064;0.525899507;1.253511522;1.571919676;0.276806373;0.400577636;0.53295586;0.993195423;0.961409037;0.921229014;0.440420282;1.430320319;0.762056632;1.105410948;0.975970236;0.890169016;1.076973877;1.48873282;1.031889988;1.257649602;1.073607315;0.838861715;0.848041231;1.22966191;0.966282439;1.217896556;0.983545929;0.66804859;1.269668983;1.121242973;1.1170012;1.458977806;1.787604619;1.614078094;1.590245614;1.509558694;1.144134221;1.144261773;1.61850747;1.58691235;1.065317261;1.409872039;1.247073938;1.203847904;0.682588932;1.697423413;0.61974311;0.830563412;1.462030401;1.962054034;1.60453417;0.788161238;1.311461909;1.161016936;1.732471534;0.837569225;0.805803323;1.034667872;0.74205381;2.030748898;0.523377352;1.775424855;1.052576943;1.172458025;0.941057361;1.039118486;1.621909138
0.4;-3.649301384;-3.543422306;-2.39958685;-3.353108611;-3.212960161;-2.901059682;-3.690378463;-1.454835297;-2.268613796;-2.717429643;-2.254398164;-2.299993436;-1.807573927;-2.491730459;-1.427639804;-2.254387882;-2.177953207;-2.036263494;-1.466849693;-1.644674127;-1.845920764;-3.430028936;-2.42655228;-2.574174811;-2.552728184;-2.955612485;-3.394255226;-2.715699809;-1.738181969;-2.010558375;-3.470551444;-2.020166475;-2.449298747;-0.987334163;-1.913876503;-0.980374344;-1.872088684;-2.988614642;-0.908564969;-1.954360159;-2.182636131;-2.656672933;-2.935910858;-2.362331903;-1.97597972;-3.24768691;-3.092762816;-2.704313322;-2.136388727;-1.971023385;-1.945202769;-2.224345186;-2.443520845;-2.177010814;-2.913268717;-1.728583651;-1.38362342;-0.563954861;-1.491726163;-1.8393508;-2.53464431;-2.208273752;-3.66067508;-1.826885212;-2.3729833;-2.074701705;-2.626175823;-1.915114113;-2.200234578;-0.800607039;-1.18034085;-0.575626979;-2.212575624;-1.823148451;-0.924806746;-1.496378791;-2.713861324;-3.631867313;-2.678825062;-2.59008843;-3.407635735;-2.725651418;-3.197494014;-2.722912629;-0.984106502;-1.664313571;-1.281245949;-2.449041316;-1.567453796;-2.765559637;-2.66561633;-1.101863664;-2.516503642;-2.618920878;-2.398794024;-2.074114148;-1.977731747;-1.450430353;-2.901968391;-1.863559143;-2.230397911;-2.172513599;-1.731245362;-1.066897719;-0.920946447;-0.680509804;-0.126961443;0.102424373;-0.599734689;-1.798723036;-1.861135025;-1.921768758;-1.310454774;-2.98791352;-2.336841084;-1.365674945;-0.958565222;-1.889912234;-1.543946717;-1.539197562;-0.79268162;-0.509935656;-0.503198986;-0.996394249;-0.811038791;-1.469553684;-1.97571027;-2.006352825;-1.424468085;-1.442837586;-1.449758292;-2.553398811;-0.975873207;-0.605554006;-0.604377222;-0.491778715;-1.564884391;-0.171665536;-2.508871974;-2.09289472;-1.826556715;-1.634987864;-2.209645749;-1.382504434;-0.920059105;-0.363724857;-1.824048611;-0.417458383;-1.494215739;-0.864589831;-0.610764406;-1.792951156;-2.218927273;-2.032289224;-1.767680421;-2.295935058;-0.845070559;-0.689449953;-0.515995392;-1.588448304;-0.193757677;-0.258425141;-0.289631476;-0.443409177;-0.444083217;-0.479226914;-0.110223838;-2.116620027;-0.807378031;-0.73902537;-1.325289773;-0.508039443;-0.875420859;-1.530324081;-0.966225319;-0.908614913;-0.75468965;0.076577146;0.161388294;0.173354173;-0.788058811;-1.587415;-1.499765076;-1.215381378;-1.642243403;-1.862588085;-0.561985632;-0.518176782;-0.461806793;0.515149296;-0.403818944;-0.788986727;-1.363949507;-1.016837244;-1.185412782;-0.377300099;-0.560937903
