Freq/Samples;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204
0.1;3.06031444;2.829066613;2.838700908;2.890990046;2.965245871;2.923762026;1.679176847;2.830948097;3.624482813;3.082663958;3.331484117;3.301359209;3.62903037;3.587805372;4.079889301;4.550056666;4.781759496;3.895807708;4.110092937;4.937628969;3.758174163;3.516970077;1.180679196;2.673611762;2.157984304;2.131515519;2.37962789;4.052079125;3.945914133;4.027296511;3.354210528;4.190990613;3.695007965;3.723603885;3.516400014;4.852796987;4.107469977;4.055262756;4.632781638;3.776730089;4.325188586;4.359921457;2.906914615;3.501976307;2.323483168;2.72777688;1.243703349;2.500138351;3.645491571;4.888558523;4.227158524;3.230500039;4.034237643;4.412623819;5.119675441;4.588894988;4.990663287;2.337241056;2.646022649;3.109796595;3.115082007;3.737567865;3.442626005;3.931364612;4.484882763;4.203601994;4.701682103;3.273701935;3.740115074;3.819992088;4.829715709;3.315779541;2.508077429;3.249386031;4.139216364;4.5066019;2.692464388;3.339581855;3.045449765;4.218171831;4.990376176;4.232367985;4.171896776;3.34783598;3.341326421;4.086195469;4.941147251;5.070890544;4.631046247;4.884213503;3.786129459;3.389087583;3.541101755;3.408006687;2.450834145;3.811887402;3.253537237;4.530345512;4.080932392;4.269352551;3.773798218;4.543806285;5.072675867;4.184006903;4.884258585;3.12439653;3.572839644;3.586437999;4.072164349;3.901209281;3.553955815;3.29174599;4.700343659;4.187782279;4.020195174;4.706522471;4.178294989;5.064511498;4.846314604;5.356136406;4.927424443;4.362426543;1.201235971;3.69919971;3.033111046;4.00210241;3.695919526;4.341505471;3.670254822;3.367882028;4.906427596;4.743256347;4.683877099;4.959644181;4.544687795;4.360071486;2.991932996;4.498554145;3.900409553;4.510599801;3.186062042;4.138922381;4.437806511;4.679572216;4.132937304;5.204676617;4.367284146;5.189115709;4.910044882;4.716822297;5.016699435;3.485957042;4.775095515;3.56994686;3.067832398;3.45012704;4.440619126;3.711676637;4.782008321;5.308400129;4.916643828;4.665966472;5.570940458;6.134717944;5.26089653;4.617311471;3.910058548;3.992996255;3.696383586;3.559653904;4.718863283;4.171888962;4.693660571;4.148321688;4.585182354;5.697148493;5.279732947;5.223447654;5.861035643;4.298639154;5.579974536;4.413480158;3.767972275;4.923604808;4.283739961;3.315184476;3.737588808;3.768461243;4.761750574;5.228616724;4.404528881;5.326056391;4.391510973;4.223700617;4.812129454;4.443572035;4.27061701;4.204053273;5.121596684;4.990474127;5.415856624;4.777219291;4.983942454;5.020839549
0.133333;1.763738178;1.571477438;1.178582233;1.703708537;1.239019462;1.667151458;1.700231238;2.432548547;2.357293583;2.09487732;2.67506667;2.984349254;2.51853062;2.459356476;2.864323786;2.621043646;3.326620948;1.246672822;2.943643764;3.268570435;3.07147038;2.697770029;1.552972086;-0.39994209;1.97558302;2.223173688;1.794563568;1.622573701;2.967079722;2.748774514;2.411423;2.187780753;2.293534262;2.717363418;2.931453502;3.596371311;3.407184562;2.217053395;3.535324178;2.456998553;3.309972697;2.925655479;2.613367392;1.293793428;2.338233396;2.265162066;2.234210047;1.537865626;2.285175026;3.258275124;2.352889444;1.996980448;1.208183255;3.726509927;3.830715981;3.302911987;3.507989374;2.39366043;1.612898517;1.614890173;3.122911288;1.993335972;2.351169406;1.952168459;3.170211505;3.132907943;3.601757267;2.96837359;3.614590891;2.858553553;3.319653994;2.028121263;2.368918992;1.238294622;2.580145469;2.549679322;2.137904301;2.741538464;2.17047818;3.502262686;3.448936191;3.363772685;3.203948391;3.350434714;2.699023583;3.476526687;4.02609536;4.475538938;3.98944198;3.665396716;2.749146405;3.183958095;2.648016171;2.999290586;1.858398256;2.39185765;2.097953977;3.487831137;2.916053531;2.643044817;3.494744951;3.068008841;4.587270512;3.594083805;4.066776481;3.280557216;2.59920792;3.58557873;2.727584504;2.899529504;3.061391779;2.991062149;4.212947885;3.705719563;4.01935041;3.736242884;3.661467372;3.663067131;4.327239074;3.594724773;3.696985402;4.090869958;2.774636797;3.305841891;2.511329243;2.677158637;2.758366911;2.754543506;3.277396531;3.502104201;3.403650446;3.775079801;2.87680713;3.208512594;3.294741125;3.967329418;2.857031695;3.962462117;2.524380072;3.36990761;3.375187959;3.378255158;3.035253612;3.664357298;3.778172692;4.41974129;3.708468817;3.919821231;4.084620248;4.487860468;3.795015164;2.970748507;3.86165861;2.868907509;2.994603476;1.823182611;3.225067654;2.990636029;3.024257274;4.498090952;3.8007122;4.495595869;4.300345717;4.837569213;4.5768733;3.912235204;3.033935512;3.047112182;2.200711252;3.428306042;3.305362281;3.045047049;4.039549088;3.828746367;4.673928801;4.604932089;3.741614117;4.464708036;4.263275435;4.435327967;3.667615374;3.594070136;3.313977948;4.308988909;3.610565692;3.322563466;3.156994639;3.010322709;3.962894616;4.625902982;3.964610968;4.212749012;3.997933615;3.228681238;2.938333814;1.677226482;3.281148422;3.220484243;4.86806666;4.528902907;4.809734747;3.849219991;4.518034273;3.861584812
0.166667;0.187368796;0.5460024;-0.050516763;0.566063624;-0.038995284;0.505862709;0.773684012;0.658124579;1.20517345;0.904384066;2.242627224;1.574076847;1.771012479;2.095059601;1.351308559;1.259258601;2.161251854;0.837355161;2.116101043;1.840953015;2.133220335;0.482534589;0.894988253;0.627439058;1.415328761;0.935940702;1.514854134;-0.036728719;2.012807418;1.676477776;1.859098466;0.915144875;1.533459112;1.358063417;1.79630273;1.993137203;2.077802666;1.851941894;0.911489792;2.181212749;2.648356148;1.37401347;1.571674299;-0.027906287;0.928031455;1.823598122;1.513445232;0.943236908;0.840571703;1.918012924;1.554032204;1.062517992;1.716881078;1.917054572;1.990313657;1.562893236;1.985892961;1.060948184;1.251462483;1.119308806;1.795113115;0.644098038;0.657190141;1.87257031;2.215069527;2.396600333;1.789793641;1.398242234;2.941348213;2.317695918;2.849986463;1.911097916;1.985233038;0.490149225;0.617791656;0.761308432;1.208849547;1.757839556;-0.096018223;3.050774752;2.1299884;2.427773756;1.96377946;2.157328137;2.134138069;2.405170966;2.909580665;2.890235371;3.245851755;2.375871319;2.341179491;2.349319865;1.68016104;2.0624764;2.195663305;1.640259056;1.008222496;2.418449734;2.309048505;2.672748739;2.102624302;2.507949051;3.533870953;2.134912875;3.581460387;2.085109921;1.977437148;2.55460131;2.413261571;1.967928938;2.295148203;1.767650208;3.47414412;2.566747684;3.153564063;2.977019494;3.417628104;2.589484876;2.929160485;3.7496556;3.159155864;3.07305638;1.782166049;1.721047377;1.79323642;2.323620227;0.867931889;1.545257476;2.161857037;2.261063508;3.356637545;3.292038595;2.45846143;2.635379282;3.203071865;1.674188079;1.556509221;3.04051991;2.301863137;2.28295131;1.645116484;2.82800857;2.381679801;3.398655243;3.29194033;2.566226778;3.910311391;3.208910319;2.123071567;4.266279222;2.134942317;2.76450225;2.776755924;2.562537585;2.186584047;2.243165352;2.428312036;2.194319245;1.861566024;3.352078616;2.784679106;2.939297193;3.890062392;4.190500529;3.890333963;1.876478564;2.372356392;2.785793968;2.180790711;1.656652143;2.905216141;2.335036989;2.74301175;4.207087105;3.737068333;3.881546798;3.256708347;3.64591902;2.647833373;4.164179367;3.628498296;3.405931879;2.47638032;3.662800881;1.748890957;2.466644758;2.961816548;3.076613072;3.574642757;3.879358241;4.086695855;3.659333063;3.520485633;1.293597356;2.358645574;2.811683505;2.346649178;3.100942349;3.919318775;3.803664467;3.336907346;3.558486134;4.380726117;2.963002008
0.2;-1.406117037;-0.921810157;-0.083976364;-0.286484449;-1.029754047;-0.677859781;-0.725230881;-0.992735879;-0.349554386;0.457861792;0.74325208;0.767418048;0.814252315;0.701777449;1.236255259;0.608963859;0.41877658;0.678813473;1.131926462;0.469592659;0.506828072;0.164026384;-0.106963922;0.585035921;0.50762424;0.087666469;0.255361834;-1.135376811;1.247398287;1.443130575;1.192867579;0.774038941;0.765156209;0.126898465;-0.010220981;0.476495395;0.617424328;1.036327989;1.537873742;1.652085407;2.1727302;1.095403395;0.312283289;0.42705897;-0.052247663;-0.791740294;0.898540509;0.173361226;0.277751873;0.769839837;1.054587198;0.89387093;1.128186801;0.407190871;1.357554179;0.61247576;1.051588144;1.131865151;-0.200140081;1.286865104;0.506340956;0.689416297;0.415554327;0.535071552;0.682444058;1.723547973;0.665546506;1.145196484;1.238595223;2.242008315;1.698489477;2.142036334;0.312371457;0.096806899;0.336883557;0.269142576;0.580347281;0.471508819;0.242622943;1.58103388;1.647423476;1.022916965;1.599871141;1.039618924;1.754366393;2.189685469;1.610775595;2.32310625;1.974835446;2.619663712;1.625793438;0.197517566;0.717959666;1.809212663;1.771606608;0.738993572;0.586386568;1.853976394;1.156144275;2.054429814;1.459061152;1.904555969;2.167876378;1.909140019;2.870182751;0.883704012;1.124443893;0.842127966;0.714592533;2.070142605;0.417473494;0.957415819;2.02934365;1.760183667;1.365415393;2.293066477;2.837972398;2.473026638;1.070044326;2.193804549;2.29879894;2.69613653;1.329308653;1.433103411;1.435074089;1.340513271;1.525225271;0.968173244;0.525630616;1.266006466;2.972233358;1.982253442;2.259931283;2.843161684;2.431101145;2.963354645;0.766770654;1.555691735;2.330996675;1.858909191;1.193153372;2.007032537;1.92065245;3.104056849;2.866663296;1.375716898;2.333071659;1.742524381;3.341914057;3.148285274;3.28967874;2.11163432;1.661669548;1.911994576;1.475791692;2.103273505;1.663242649;1.074943137;1.423588078;2.854913031;2.596656525;1.592693002;3.022553915;3.852637149;2.503700087;2.052876841;1.978260435;2.311995137;2.262011767;2.25177941;2.028265468;1.78668311;3.18834688;3.514012714;2.53997586;2.604188839;2.747570507;2.675987967;2.961772439;3.025546773;2.923808385;2.816476477;2.03510712;2.571902922;1.587634052;0.95013344;1.92305802;1.929599163;3.253992122;2.567302878;3.531266492;2.960862362;2.42122407;1.000644427;1.874312137;2.546829404;2.064993408;2.082973896;3.252195533;3.170953047;3.407024073;3.070101728;3.652923853;3.471943088
0.233333;-1.307506121;-1.664348832;-0.585438856;-0.926099988;-2.387757055;-1.932204619;-1.697780372;-1.523719557;-1.064646807;0.212838429;0.561766939;-0.260138071;-0.097551437;-0.967224413;0.724376685;0.074642307;-1.090690472;0.145944352;0.899467428;0.24358477;-0.131870746;-0.705793136;-0.881620713;-0.49100142;-0.113552381;-0.714523916;-0.870490801;-0.928089783;1.357035107;-0.298749389;0.20855412;-1.019632495;-0.103960854;0.030329869;-0.733611732;0.28654256;0.674654349;0.571949042;0.726710667;0.406390365;0.988999956;0.659609166;-0.542014527;-0.730649939;-0.175045838;-0.515669558;-0.596474436;-1.82027952;-0.868517887;0.115748266;0.581797864;0.525296991;-0.040883063;0.788064579;0.046109829;1.085006653;1.541501081;0.555705365;-1.329855277;0.182798873;-0.705438316;0.298401944;-0.960015188;-0.642388301;0.690313753;0.472847226;-0.204389122;-0.286529375;0.70894641;1.722458689;0.01188305;1.478039536;-0.564390495;0.069992627;0.508349189;0.711430431;-0.453761281;0.383559409;0.418984386;1.118069848;0.464699332;0.810773538;-0.703288424;1.013949764;1.071570753;1.83996426;1.437012972;1.93060725;1.736319327;2.05256849;0.685816003;0.492153271;-0.361275215;1.047283625;0.808298407;-0.43679142;-0.275008326;1.053437685;0.728162047;1.696744251;0.744916395;1.319322097;1.556367477;1.274664002;2.150765386;0.121128742;0.17804351;0.694218786;0.63208198;1.702636434;-0.647287832;0.111273576;1.586437095;0.59566847;1.667346463;0.886588976;1.932570269;1.730088316;0.122536251;2.012205789;1.685551489;2.007845491;1.152031318;1.222945911;1.009221382;0.600998601;1.316686769;0.385155367;0.515588592;1.547445514;2.262682971;1.892265885;1.291132342;2.065477327;2.539614116;2.521255337;0.753407658;-0.246992355;1.324451084;1.339425212;0.861641393;1.316908661;0.584659162;2.256035246;2.239644933;1.306097505;1.580297099;1.746349596;2.325138606;2.339019171;2.91475731;0.192540047;1.344722023;0.900777505;0.467503179;1.479485437;1.480082566;0.858617099;2.190007887;1.529689583;1.787243547;1.809899972;0.908380593;3.537196594;2.41119641;1.470460269;1.256235559;1.6031055;1.389336269;1.650797798;0.27172787;1.435730129;2.394093197;2.155688402;3.075134314;2.181524059;1.720391287;2.278246006;2.105459421;1.133689437;2.867127181;1.346785754;2.353121629;1.583640673;0.887554287;1.104748091;0.913527178;1.564458815;2.725314412;1.649948033;2.862638438;2.112966036;0.814543403;0.341583386;1.16429449;1.646880683;1.448873807;1.204877592;3.244932584;2.271471275;3.254092184;2.095139908;2.741572437;2.555484408
0.266667;-1.41371263;-3.026725818;-1.560389359;-1.590089869;-2.061255345;-1.771468287;-1.75992055;-2.137693039;-1.072775326;-1.929792595;-0.777438572;-1.186950981;-2.081312942;-1.510824058;-0.369528111;-1.406045488;-0.443641725;-0.780335352;-0.012396298;-0.364017585;-1.903915745;-1.531959814;-1.829552247;-1.498904061;-0.737996662;-1.369985815;-0.95455908;-1.648486158;0.361103282;-1.138790159;-0.37240057;-1.393293358;-1.127364243;-1.214635716;-0.808043852;0.461487023;0.420735413;-0.44478911;1.101502226;0.283712664;0.024271933;-0.616508206;-1.21676375;-1.238617814;-1.196870862;-1.842527247;-2.184203385;-2.165642438;-0.931506264;-0.246559885;-0.882479182;-0.213341124;-1.33444937;0.578215038;-0.397749694;0.911013551;0.929734939;-1.633927184;-1.112545586;-1.045408364;-2.317964125;-0.643486087;-2.831416583;-0.696892799;-0.061110502;-0.287411851;-0.473739617;0.072399412;0.134618565;1.023821255;-0.02186274;0.232162725;-0.809597221;-0.231286916;-0.454934427;-0.294540401;-1.340142178;-0.337095048;0.138204009;-0.093934021;0.186118645;0.239853621;0.026537707;0.705308606;0.490927645;0.017218402;1.335621808;1.137336914;1.178651432;0.432201499;-0.156144831;0.263316352;-0.945816875;0.117137517;0.44738589;-1.975691375;0.124519928;0.308107169;-0.564535225;0.079841013;0.535995823;0.625908626;0.609672581;0.622002515;1.167549768;-0.335861727;0.134104446;0.445610716;0.749628661;0.825467618;-0.32084318;-0.230512103;1.10256825;0.37441953;0.916975191;0.970293629;-0.120323292;1.162663128;0.644942586;1.551432445;0.171015132;1.352306015;-0.016842736;0.073157621;0.115756739;-1.17922552;0.601024262;-0.30014041;0.247938241;1.397550068;1.854622963;1.048438388;1.16930361;1.523682346;1.897209117;1.16436021;-0.181185484;0.425362063;0.235077144;0.89264237;0.329119369;0.69545953;-0.602654822;1.278731564;1.391313677;1.994186773;1.115963086;1.390692086;0.70289318;1.673826204;1.093570131;-0.099644309;0.00601294;0.057712859;0.393554215;0.729772513;0.778960431;0.288356111;1.810531062;1.760911589;1.436823213;0.619373174;1.886516331;2.686854022;1.476800084;0.516356363;1.086999856;0.586352222;0.145306374;1.120784913;0.430809703;1.595795885;1.803294714;1.491828965;2.533076754;0.367933083;1.989066469;1.492764745;0.861586486;2.142609332;2.360926027;0.01284023;1.189771577;0.636772897;0.919513169;-0.537158997;0.458733136;0.963906602;2.109536231;1.81706488;2.522366382;1.982294872;1.305719497;0.18446132;1.439838242;1.799212427;1.756299004;1.551760128;2.08461889;1.607471768;2.638447076;1.233479128;1.376482975;2.629201412
0.3;-1.21523948;-1.622130966;-1.480138239;-1.618805501;-1.17604557;-1.247534424;-1.178659621;-1.260741566;-0.42237284;-1.093514496;-0.519877484;-1.020565175;-1.083964801;-0.559648107;-0.285512415;-0.507758878;-0.163662585;-1.077205846;0.258279388;-0.842515533;-2.416610564;-0.815176913;-0.996645559;-1.163726817;-0.469182559;-1.561503695;-1.210647527;-1.976110821;-2.781760858;-1.194664083;-0.376492311;-0.468124982;-0.140721945;-1.533924213;-0.480372797;0.152536856;-0.603913002;-1.031827545;0.514640539;0.246322169;0.057113936;0.036073346;-1.036419221;-1.303829348;-0.560812106;-0.989620495;-0.674430091;-0.438566363;-0.469239375;-0.336968288;-0.241252538;-0.270937841;-1.021791412;-0.42268171;0.074482965;0.265490637;0.41373062;-0.721264787;-0.780761611;-1.012985958;-1.805402965;-0.886686889;-0.866840133;-1.380589376;-0.321152625;-0.110834626;0.081841194;-0.249625158;0.373756137;0.875428646;0.761480138;-0.226423726;-0.593467298;-1.484609043;-0.29745808;-0.687863299;-0.653079057;-0.563898873;-0.350752752;-1.202250648;0.217206417;-0.209742896;0.602886769;0.274003611;-0.591554775;-0.424796118;-0.782187886;0.229372686;0.386895206;-0.166649444;-0.377743324;-0.395550037;-2.079394258;-0.739236238;0.053656488;-1.107844582;-0.054831471;-1.385119345;-0.046863665;0.158405531;-0.43530453;-0.293340114;0.753456059;0.120725264;0.753894722;-0.555156554;-0.562528653;-0.391460816;-0.067098656;0.442909884;-0.048813627;0.456061519;0.302636002;-0.218208611;0.327029442;0.054022501;-0.879608714;0.776212877;0.612830171;-1.501030863;0.60555148;1.226651651;0.039153456;-0.452030367;0.53397583;0.552490024;0.160543311;-1.158924908;0.311267941;1.049187269;0.748192359;1.36064167;1.139612902;1.535003595;1.34908835;1.234540972;0.324031833;-0.425234284;0.21069445;-0.029857629;-0.140149349;-0.065824371;-0.57243965;0.578655838;1.072863691;1.569818778;0.874093778;0.189931605;-0.091230636;0.965125358;0.572443237;0.834969056;0.53158372;0.244928449;0.672819716;0.424495329;0.612338176;-1.043637697;1.302720491;1.771037996;1.512669331;1.144940812;1.643836781;0.75604521;2.072517489;0.398619293;0.380054824;-0.270931099;-0.137366404;0.830423939;1.083341274;0.809762721;2.049650029;1.265798155;1.453563165;0.411906073;1.851538531;0.459170127;0.023578782;1.349457146;1.185057345;0.594664355;0.625755446;0.780872523;1.312606607;0.508316256;0.901925559;0.690234174;0.816194579;1.5434655;2.293851074;1.684155894;0.969319359;-0.459602496;0.047542503;0.865854595;0.950928929;0.607309381;1.891458939;0.772139743;1.860539262;1.133715458;0.625699879;2.344382869
0.333333;-0.279533731;-0.177207374;-0.228602107;-0.437558631;-0.392659655;-0.158497872;-0.186252591;-0.377036242;-0.024946792;-0.029709939;0.218317326;-0.178088001;-0.00239778;-0.289713162;0.277458252;-0.093606766;0.480319353;-0.751415771;0.227282884;-0.5434987;-0.88656128;-0.050814189;-0.142267976;0.114899936;0.098163352;-0.086544248;-0.131652286;-0.07436417;-0.222997004;-0.423574596;0.36232984;0.084741515;0.609788466;-0.555376819;0.09560425;-0.292186162;-0.703336647;-0.155477994;0.394614802;0.899077815;0.097443071;0.484548463;0.079628172;-0.530107972;0.234798566;-0.073633281;0.063087324;0.414631723;-0.067908916;0.242921877;0.109106014;-0.099257102;0.072817029;-0.114377999;0.530596667;-0.077679025;0.4076193;0.119108691;-0.398315811;-0.000953554;-0.204721079;0.021474967;0.107821377;-0.43270912;0.426752895;-0.225093184;0.211929384;0.099316812;0.552519925;0.866516712;0.292958771;0.272159367;0.125924777;-0.506027991;0.416853696;-0.158292366;0.394484055;0.275305959;0.089753046;0.619261628;-0.749285654;-0.194709118;0.909563128;0.071551367;-0.088730703;-0.380051413;0.36785593;0.53733375;1.278367494;0.739235722;0.499339099;0.641231965;-0.542101561;0.442746881;0.224342411;-0.045488874;0.018419971;-0.323770092;0.432781745;0.445603671;-0.325481103;-0.523235899;-1.013174933;0.733861667;0.687512802;-0.489734286;0.271544394;0.160122877;0.150282641;0.162046617;0.200881746;0.740692807;0.269521301;0.634138278;0.56395902;0.632036;-0.311407764;0.433248729;0.261426585;0.516580273;0.174739731;1.162951992;0.370464581;-0.135106764;0.883843845;0.97662437;0.931649995;0.181734486;0.346571884;1.387945296;0.032604143;1.15563785;1.008056483;1.564610518;1.090416931;1.014897314;0.486370871;-0.456379143;0.69231368;0.158010928;0.267188559;0.213158;0.398949749;0.071585541;1.248324467;0.697167343;1.059427345;0.89744393;0.245067199;1.040577517;0.40356141;1.200072684;0.548227664;0.593497022;0.43976581;0.395724762;0.6217844;0.100495698;1.190052675;1.269938599;1.102662049;0.613957647;1.124791331;0.88736746;2.018720531;0.450734031;0.583817548;-0.579643159;0.723343865;0.559953415;0.539760909;0.328240886;1.72778574;1.804578969;1.228152719;0.613297529;1.709497732;0.195755361;1.404506787;1.673475053;1.629396872;1.381240895;1.406616508;1.026922767;1.408267866;0.662313106;1.294041173;1.489496597;0.728413883;1.133604748;1.531897649;0.902692793;1.339524686;0.376014725;0.332145361;0.994210751;-0.866789027;0.17364681;1.983650118;0.945475276;1.026964538;0.851621582;1.434792198;1.53160087
0.366667;-1.372491596;-1.314215528;-1.36702447;-2.076095503;-1.742184112;-1.593691534;-1.321370422;-0.957296811;-1.585494293;-0.737958728;-1.33344401;-1.338729436;-1.385047628;-1.685626169;-0.797044431;-1.954130987;-0.629641645;-1.293499704;-1.746879911;-2.021024677;-1.099683436;-1.190781519;-1.570666951;-1.070381201;-1.510391138;-1.380237477;-1.310147061;-1.105112959;-0.968544726;-1.079588755;-0.875540039;-0.68093525;-1.180543381;-1.299169466;-0.872083032;-1.013116278;-2.368819821;-0.626445055;-0.470771967;-0.54026039;-1.453053853;-0.958047307;-1.361479653;-1.476891247;-0.814469099;-1.394903867;-1.289404742;-0.921797402;-1.345946921;-0.979231715;-1.197395598;-1.211102495;-0.530989318;-0.767653471;-0.757269469;-1.381998508;-0.459095247;-0.772372343;-1.563654232;-1.200189482;-1.503187528;-1.012907362;-1.00224195;-1.882358025;-0.668101892;-1.911993203;-0.413477586;-1.52828957;-0.55694904;-0.766402562;-0.549174147;-1.167978643;-0.688863892;-1.441722871;-0.750028988;-0.82808221;-0.815880291;-0.785254426;-0.868922881;-0.221786777;-1.118297769;-0.630521894;-0.826861289;-1.280891265;-0.588066723;-1.685953951;-0.176544408;0.031118998;0.357090374;0.355602609;-0.549524813;-0.232866825;-1.208292947;-0.565252519;-1.840796985;-1.222620693;-0.59077427;-0.485774071;-0.692283532;-1.212032536;-0.933329429;-0.822143749;-0.24022658;0.138435614;-0.385510877;-1.646149287;-0.965156687;-0.748898937;-0.938201715;-1.128367228;-0.321325578;-0.475848409;-0.660185162;-0.413041816;-0.245834437;-0.338139057;-0.800526846;-0.052771018;-0.672672694;-0.256469326;-1.813146908;-0.121860336;-0.916046992;-0.991465101;-0.027497087;-0.242171959;0.293310707;-0.382772258;-1.090040092;-0.139704929;-0.787056988;-0.483380476;-0.169850671;0.319010751;-0.44706164;0.499236826;-1.709866411;-0.650124335;-0.157654388;-1.026616892;-0.758592602;-0.551649517;-0.803333037;-0.408760736;0.688495406;0.386333397;0.046642549;-0.543525397;-0.538421908;1.05689077;-0.060562541;-0.386244877;-1.473360131;-0.49528911;-0.152810939;-0.464837554;-0.153665737;-0.981001513;-0.596555588;-0.780850432;-0.985489071;0.121987728;-0.158660019;0.246809992;1.02577881;-0.922749973;-0.339082772;-1.144245047;0.002745585;-0.780546423;-0.879423153;-0.647532316;0.866903383;0.706846465;0.249374073;-0.587216972;-0.439167374;-0.472405493;0.989945236;0.812896519;0.938248396;0.624848548;0.500269692;-0.183374658;0.192646332;0.254281293;0.120397124;0.588642192;0.872606708;0.725497802;0.445118881;-0.414009707;0.879751585;-0.575727928;-0.471489514;0.306048736;-0.69896715;-0.170530051;1.623772095;0.486370103;0.553834321;0.670942855;0.97675884;0.922166342
0.4;-3.413207727;-4.406663734;-3.926134216;-4.640436296;-3.223308762;-4.058934438;-3.274062556;-3.370673821;-2.979461247;-2.771919573;-3.687945918;-4.190688425;-2.997445742;-4.247827825;-3.151439151;-3.025456992;-3.883211748;-2.612814088;-2.607383922;-3.07283669;-2.298926586;-4.414149891;-5.089324879;-5.049455176;-4.257084376;-3.352240136;-2.96559613;-3.926242428;-2.798549304;-2.761334978;-3.15132451;-2.959695062;-3.082293167;-3.538155257;-2.287794648;-2.34098758;-2.551994015;-1.803458994;-2.164920407;-2.497274934;-1.915293901;-1.801874803;-3.433432726;-2.382193005;-3.637590626;-4.013764469;-4.116746389;-4.222902233;-4.006390874;-2.364834621;-2.752859163;-2.639024554;-1.724215936;-1.655996565;-2.636850084;-2.550415518;-3.350607597;-3.068328742;-3.719934336;-3.508849535;-3.980042451;-3.195638002;-2.573197132;-2.633615778;-2.321459517;-2.091443748;-2.023251826;-2.343673709;-3.132302884;-1.6950222;-2.095651154;-2.333637445;-1.959679643;-3.616932225;-2.914097107;-2.590934497;-3.103851721;-2.600971406;-4.608802003;-2.270036689;-3.033227168;-2.723633568;-3.216839435;-1.973921108;-1.196232971;-1.699028902;-1.369481167;-1.080394723;-1.314123691;-0.801752681;-2.956570953;-2.678216118;-3.197074982;-2.522614342;-2.199634069;-2.355088653;-2.640483785;-1.937935764;-2.125165014;-1.927311263;-1.347032254;-2.867314458;-1.513344734;-0.730108266;-1.177716433;-3.02373691;-2.652647607;-2.040435256;-2.861954844;-2.205208915;-2.845381467;-2.257667364;-2.277787111;-2.237346991;-1.426563452;-2.528230801;-1.348973821;-1.881406221;-2.23232596;-0.981045629;-1.363371128;-1.504645696;-2.161578375;-1.792940039;-2.185817584;-2.231796219;-1.546242033;-2.041737197;-2.644077442;-1.13989761;-0.909986766;-1.694174742;-1.337159056;-1.162944848;-0.689494625;-1.202967647;-1.839489619;-1.943119871;-2.486462162;-2.429118042;-1.791764994;-1.668773028;-4.130410212;-0.859774476;-0.477196706;-0.615416667;-1.947852045;-0.963501269;-0.632654002;-0.477729619;-0.935683711;-3.01883694;-1.799567474;-1.655862181;-2.766220193;-0.718373551;-0.874384951;-1.990799452;-2.388375712;-0.62569616;-1.903579062;-0.47871094;-1.352084226;-1.039196416;-0.536852771;-2.169567033;-1.600249365;-2.257902533;-2.102503998;-1.61409134;-1.043654972;-1.704708254;-0.289595604;-1.692597645;-1.12637496;-1.574620974;-1.142892868;-0.941918881;-1.164879367;-0.544765672;-0.073579016;-0.994053768;-0.544186055;-1.554052717;-2.516530488;-0.946808357;-1.387314744;-1.479593745;0.260083746;-0.06991297;-0.087141757;-0.977535987;-1.406301424;-1.943405109;-1.001561906;-0.789868531;-1.319138284;-0.568808587;0.237462408;-0.670260125;-0.408630478;-0.04709527;-0.525966687;-0.157898376
